ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
1,120.93.73.115,甘肃省,2025-07-13 22:28:18,baidu.com,787893,8ff2f5dd-c43f-46ea-852f-cbcb0fd7a24c,Chrome,linux,520
2,172.74.22.116,湖北省,2025-03-02 09:52:49,taobao.com,219404,d473bc7b-45c3-4034-af21-0a05070acb6c,Edge,安卓,532
3,3.93.5.12,黑龙江省,2025-02-19 01:28:50,aliyun.com,500383,ef55130b-01ad-46bb-94fe-8ec65fa13cff,Firefox,win,86
4,149.7.38.40,福建省,2025-07-06 07:28:05,baidu.com,962377,233697f4-c56c-4e45-8723-b12c079e2d3c,Edge,win,441
5,111.113.250.7,广东省,2025-07-08 08:46:08,xiaohongshu.com,654112,467b508b-805c-43cf-bfe3-3a2aabe5a96c,Edge,linux,264
6,205.61.144.187,新疆维吾尔自治区,2025-12-18 17:38:10,xiaohongshu.com,415357,57e1d614-dcc4-4c6e-9156-5031c88f6ee7,Edge,ios,554
7,19.176.62.118,安徽省,2025-12-12 04:38:00,qq.com,723283,27ce4942-4a4f-4ecb-9d42-fd06da5f7f1b,Chrome,macOS,95
8,123.131.180.199,辽宁省,2025-08-19 16:19:36,jd.com,714168,b3d033f9-cb82-4aeb-a657-1aa725bc075e,Edge,linux,310
9,139.73.140.60,河北省,2025-01-11 11:34:54,baidu.com,527408,b77625f8-d6c2-430c-8ef3-7dab21c8e32a,Chrome,macOS,358
10,200.60.175.115,安徽省,2025-12-22 10:54:20,douyin.com,203140,9ce2bdbc-eb94-45b5-94b5-b901b10bf371,Edge,ios,105
11,99.26.124.43,青海省,2025-01-24 01:34:06,qq.com,480059,5d7008b0-02b0-4c99-a36f-c6d39a68506b,Edge,linux,51
12,48.37.27.9,陕西省,2025-11-23 19:15:32,weibo.com,516205,cf3044ea-5924-428b-a862-1fe972f5c99a,Firefox,macOS,124
13,107.213.134.20,澳门特别行政区,2025-08-16 00:56:46,baidu.com,897784,b0dd3693-08fe-4c49-8402-05f18a829478,Firefox,macOS,336
14,221.27.243.10,澳门特别行政区,2025-04-18 13:20:33,jd.com,559422,59b05e88-1afc-4ea4-95be-1c5ecff26bb5,Edge,安卓,126
15,166.55.164.106,吉林省,2025-05-07 23:23:35,xiaohongshu.com,304088,fddacba1-4415-4f73-a0b8-46d8e5f1d12d,Safari,macOS,387
16,38.80.175.146,云南省,2025-12-03 13:37:01,douyin.com,158809,5010b84e-d72a-4034-9353-c8f602ce0b6c,Edge,win,119
17,110.103.214.136,山东省,2025-10-20 19:59:27,douyin.com,833298,c83e7687-f7c0-4b36-8555-705caa736c7f,Chrome,安卓,219
18,154.195.59.38,青海省,2025-07-24 23:08:15,qq.com,227331,9cd83f2d-13b6-406a-96a7-0a4779f42eed,Firefox,linux,301
19,176.38.245.188,新疆维吾尔自治区,2025-10-07 23:12:38,jd.com,564696,b66f4d1c-f7a4-4a85-9018-e32fcb4f0c43,Firefox,ios,116
20,117.35.1.232,甘肃省,2025-11-10 10:43:31,bilibili.com,438127,d342408e-b325-4a72-a6ae-cab0cf7d0554,Edge,macOS,33
21,10.221.25.139,广东省,2025-03-01 15:48:03,qq.com,870088,a6db0588-1372-4407-ace5-e52f5824c68e,Chrome,macOS,101
22,160.159.134.127,河南省,2025-06-21 23:11:26,jd.com,365701,96765e45-1ced-48d0-8b5e-2f934f1af96e,Firefox,安卓,243
23,120.168.69.35,澳门特别行政区,2025-09-26 03:15:19,taobao.com,872461,82abb5d3-61dd-4b04-8fc4-9d29c287fb55,Chrome,win,126
24,140.247.56.17,江苏省,2025-09-15 22:29:53,bilibili.com,560371,d6b96689-f257-47b5-a282-a9353c67f7fe,Safari,安卓,403
25,136.0.18.13,西藏自治区,2025-11-02 18:07:30,taobao.com,312850,2b550caa-0927-480e-b7a4-3f2dbc1e815a,Firefox,ios,488
26,19.221.36.177,重庆市,2025-04-11 15:13:57,github.com,830466,03ab107f-83c1-456b-90b0-7338c3675a3a,Chrome,ios,68
27,183.233.113.249,内蒙古自治区,2025-01-12 17:11:20,weibo.com,987519,77401d07-a7c8-4c91-904e-cd39e84aa913,Firefox,win,257
28,73.99.179.116,天津市,2025-08-14 16:17:51,aliyun.com,323203,e5cb6abf-5b80-48ad-85f0-34fbeeeb4471,Chrome,linux,583
29,50.148.227.35,河南省,2025-03-16 16:21:56,taobao.com,860434,550dc7aa-80b8-4dd9-8cdc-c903aeda18f4,Safari,macOS,459
30,100.39.50.149,甘肃省,2025-01-31 11:42:31,xiaohongshu.com,438064,e78bf374-bee4-4428-9a36-c1554953982a,Edge,linux,441
31,185.111.53.59,澳门特别行政区,2025-11-19 18:23:32,weibo.com,204519,dd618c7e-c4fb-4e32-8495-8556a231fc2b,Chrome,安卓,304
32,182.120.248.183,北京市,2025-04-16 18:29:36,github.com,854513,98972f82-9bf3-46eb-9612-c85a11853861,Edge,macOS,492
33,86.54.173.54,青海省,2025-12-27 22:25:02,bilibili.com,750276,e05932ab-efa2-4740-b56a-c60df5f6f6e0,Safari,ios,187
34,11.183.186.232,安徽省,2025-12-01 08:45:07,jd.com,713198,d982d976-a1f2-4c28-b3fa-24603b43d3f6,Chrome,win,52
35,91.126.0.207,广西壮族自治区,2025-06-28 02:11:19,xiaohongshu.com,723187,c8764c36-5167-4934-a411-80f8514f8f44,Chrome,安卓,70
36,7.14.157.121,辽宁省,2025-09-04 07:45:18,bilibili.com,491700,94f99770-aa57-4a2e-9053-b7ffa0b859d3,Edge,linux,147
37,83.106.47.63,辽宁省,2025-06-27 21:54:41,bilibili.com,547027,1e28f9c4-175a-414f-8fbe-f7966c492677,Firefox,ios,305
38,15.239.9.162,河北省,2025-11-18 21:34:40,taobao.com,917225,93f00497-997b-4734-b43b-20dfa1bac738,Firefox,安卓,220
39,9.91.252.221,山西省,2025-09-07 18:26:12,baidu.com,350877,600edc5f-0406-403d-b5a4-abe1a216c354,Edge,ios,264
40,51.156.243.208,贵州省,2025-09-23 05:52:29,aliyun.com,593571,e974d152-442b-4e06-86d7-cda33012a2a2,Firefox,linux,308
41,144.45.73.192,云南省,2025-09-06 13:09:04,taobao.com,431931,b979893b-53df-4bbd-835f-d43400edeaf3,Firefox,安卓,22
42,192.119.235.196,广东省,2025-05-06 14:08:25,taobao.com,503683,bc749958-fc1d-4017-8968-27f85539cad1,Edge,macOS,83
43,20.132.178.223,天津市,2025-11-21 19:54:56,bilibili.com,552018,50f244b6-1038-4698-a121-5ef6a64a156d,Safari,macOS,495
44,1.197.176.152,澳门特别行政区,2025-09-17 20:09:17,jd.com,145346,71b8eda2-407c-4973-88da-5d2f07641fde,Edge,win,84
45,183.126.116.89,江西省,2025-03-13 00:03:59,github.com,638527,93a85d04-6b41-4f53-968a-25ed0f402fa3,Safari,linux,362
46,112.114.7.137,台湾省,2025-04-11 01:24:46,aliyun.com,617001,78b07f1e-adde-4f25-99e4-fb51ac2c2edb,Chrome,macOS,19
47,99.179.190.125,安徽省,2025-01-30 08:47:13,xiaohongshu.com,797291,d92df7f5-f5fb-48ea-87ce-1ad719127933,Edge,macOS,247
48,112.37.222.42,台湾省,2025-02-19 18:50:09,aliyun.com,508089,b0f10177-4e71-4bf7-aa91-45028e01c58a,Safari,安卓,421
49,8.150.84.71,湖南省,2025-11-08 12:45:54,xiaohongshu.com,237982,a84732c4-b559-4737-8d56-439994d0cfe4,Edge,linux,375
50,47.159.10.238,宁夏回族自治区,2025-02-22 11:03:16,taobao.com,942894,8c6aaab7-d9a9-4230-8324-290493fd0361,Edge,安卓,207
51,163.255.250.112,天津市,2025-07-16 00:56:10,aliyun.com,497208,317aa3dc-ec5f-4f93-9597-62f61a093193,Safari,安卓,591
52,22.244.189.143,福建省,2025-12-15 21:53:43,jd.com,205678,0a129994-fc27-43bf-aaff-abcf7a68bfd0,Safari,安卓,216
53,81.217.175.130,宁夏回族自治区,2025-07-28 02:45:52,github.com,643841,5a3dec8a-dbff-4651-be4b-68a2c39234d8,Edge,ios,67
54,155.67.32.201,青海省,2025-07-05 19:00:02,qq.com,748726,9e8c8aa0-e574-457e-8241-49df00054002,Chrome,win,28
55,141.49.23.43,宁夏回族自治区,2025-10-19 19:42:21,baidu.com,860610,aadd94db-e7ff-42ee-8141-18cd2d2a606a,Firefox,ios,429
56,218.112.45.60,上海市,2025-11-07 16:01:27,taobao.com,344075,ecf2382c-6125-4ec9-bab6-72ef28e1ba77,Firefox,ios,383
57,44.191.32.221,北京市,2025-08-13 19:46:48,douyin.com,242152,c94371cc-4733-45ca-994b-9aa06af022e7,Edge,win,194
58,150.206.156.57,河北省,2025-07-12 13:54:52,jd.com,138313,777772c7-ce54-499f-81b3-17b89b2b39c5,Chrome,macOS,366
59,198.205.80.3,吉林省,2025-04-13 09:36:47,aliyun.com,401608,82763a54-4aaf-4746-bf71-cfbe1f3aac14,Safari,linux,64
60,149.149.205.102,宁夏回族自治区,2025-02-15 19:31:30,aliyun.com,907199,24021e3c-d5cd-4c4d-b691-adcb039ed5cf,Chrome,macOS,304
61,128.111.206.20,广西壮族自治区,2025-04-11 17:12:19,weibo.com,746519,fd321d22-4b1d-4fd6-a03b-c5d54863b635,Chrome,win,369
62,120.37.236.0,山西省,2025-01-19 14:17:06,github.com,420753,7c0dc2fe-4052-4435-b145-0cbcc3b045ad,Edge,安卓,205
63,77.122.130.137,福建省,2025-07-26 14:30:46,github.com,729335,d7f1140f-b9be-478f-b548-7802d6d20958,Safari,ios,54
64,30.49.2.21,西藏自治区,2025-06-06 05:50:20,aliyun.com,549171,f7624a98-fc05-4bf2-81b9-db0d1f336a2a,Chrome,安卓,386
65,67.116.98.22,浙江省,2025-05-06 13:10:21,github.com,398385,f62ad89f-965e-463a-a292-3464c883b60f,Firefox,ios,29
66,86.181.54.9,江苏省,2025-10-13 22:42:55,weibo.com,437428,d71e7678-fc44-43a1-991d-b8ddb87c6466,Safari,安卓,543
67,19.164.9.50,湖南省,2025-05-09 01:04:20,xiaohongshu.com,433478,e36f1649-18f0-47fa-ac89-e14bec029f14,Safari,win,598
68,57.35.88.157,湖南省,2025-10-11 12:25:21,github.com,446412,1e3e4a4a-3d3c-49c5-8208-b5889aa6d6da,Firefox,win,452
69,171.223.105.30,湖南省,2025-07-02 00:51:22,bilibili.com,445125,426ad5b3-7a81-4177-9e1e-c66777330cc9,Chrome,macOS,347
70,129.243.246.222,河南省,2025-10-22 13:53:28,taobao.com,713316,e6e293d8-3672-4fac-983e-629a3b89d1a9,Edge,安卓,30
71,143.245.155.182,重庆市,2025-10-09 23:51:59,jd.com,935972,59aa403d-0d9f-4add-b611-a41e1d024546,Safari,ios,68
72,49.202.170.76,湖北省,2025-10-03 19:27:25,xiaohongshu.com,406833,08fb357e-9798-480b-9e89-9c1f200ae7b6,Firefox,linux,276
73,21.241.197.241,陕西省,2025-04-29 07:27:09,aliyun.com,776430,a2446349-a53f-40ce-b585-0d2aab9db1d0,Firefox,macOS,454
74,214.237.67.168,福建省,2025-05-04 18:41:23,taobao.com,146648,83e0e970-861e-40ec-bcb8-b537a4540269,Edge,macOS,88
75,64.76.76.5,浙江省,2025-04-19 22:00:59,xiaohongshu.com,424704,ab80c537-5eae-43fb-846f-6258ff9ac2f7,Firefox,安卓,90
76,87.15.11.93,吉林省,2025-03-27 06:56:38,aliyun.com,231415,b62bee33-96d5-4f5a-aba2-8b8b33ab7502,Safari,win,550
77,176.23.206.83,湖南省,2025-08-15 00:38:22,github.com,771695,4057ea0a-ede4-47db-9672-57c0c8df28f1,Safari,win,232
78,121.56.3.122,福建省,2025-09-13 16:44:05,xiaohongshu.com,445694,a440337b-227d-43d5-a469-8c54eb6b5e19,Firefox,macOS,492
79,98.66.92.130,上海市,2025-01-14 03:40:24,douyin.com,748527,1bcd5af5-af05-440d-81bc-6882dca9d5f4,Chrome,macOS,219
80,14.195.243.38,陕西省,2025-10-28 22:33:38,aliyun.com,774234,d968964a-ccd2-46f8-bc16-e5b66a14388a,Firefox,macOS,469
81,183.119.121.240,河南省,2025-07-21 02:51:26,douyin.com,479748,5c8831c7-fd0a-4396-8d50-cd92f681443b,Chrome,安卓,445
82,85.255.8.222,北京市,2025-08-03 13:21:44,aliyun.com,359758,75ce86e8-447f-4d0f-84f7-41f8f550981f,Safari,linux,171
83,164.179.15.102,海南省,2025-02-20 21:15:47,aliyun.com,495768,5b315f39-daa8-42ca-8be1-c9af56ac9d7a,Chrome,macOS,518
84,71.214.9.62,青海省,2025-04-23 01:26:31,aliyun.com,491118,6b6d3a25-bbac-4292-b240-68e7d6a5d03e,Edge,ios,199
85,61.208.35.19,青海省,2025-11-03 18:49:56,github.com,254957,9f08bb5b-2009-442f-aaff-f26b9dcc7afe,Chrome,linux,250
86,152.20.209.169,安徽省,2025-01-04 21:31:42,jd.com,527171,3ad2d468-9d91-429d-8c96-5cecc3f8859f,Firefox,安卓,213
87,147.179.119.122,福建省,2025-01-13 21:46:55,xiaohongshu.com,471646,16e04a87-7506-4c76-9aec-4461dab07d23,Safari,安卓,82
88,210.52.118.15,新疆维吾尔自治区,2025-04-05 16:17:39,douyin.com,386146,a2d935fc-ae23-4800-864a-da6224dd287f,Safari,安卓,70
