ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
13001,56.132.159.202,青海省,2025-01-26 06:22:35,aliyun.com,870005,4364f82d-09c8-4c12-a3da-8ae9598ca1b8,Safari,macOS,61
13002,100.38.86.240,安徽省,2025-09-26 15:52:37,jd.com,244660,84d6e95f-d272-4f99-8533-2e0cdc79a576,Firefox,linux,48
13003,170.84.128.237,安徽省,2025-08-06 12:27:12,github.com,154518,02e674be-da93-4764-b68e-8d9dfe60aa13,Safari,ios,160
13004,28.250.171.250,贵州省,2025-02-25 04:17:27,xiaohongshu.com,574688,56d8be00-f8f7-44a6-9e5a-61fd07f8a9e8,Safari,安卓,454
13005,1.41.142.210,台湾省,2025-08-18 09:06:21,baidu.com,634401,5277fa21-40e3-49d0-9b3e-35885c31fa62,Edge,ios,352
13006,215.78.36.120,湖北省,2025-01-30 11:37:10,jd.com,554826,f9cbfc6b-4e80-4861-8035-68791bba78a4,Firefox,linux,438
13007,63.8.215.248,山西省,2025-10-26 08:08:14,xiaohongshu.com,101416,fed9b6ca-3c95-4cd1-8d88-9fac877387b3,Edge,win,293
13008,134.105.13.87,海南省,2025-02-02 12:17:48,bilibili.com,652556,7af1837d-2525-4f3d-b87e-7959d65f0d4a,Chrome,win,463
13009,14.120.26.13,西藏自治区,2025-01-12 21:56:51,qq.com,614600,edc9becf-582e-481e-9276-8a81e02ee325,Firefox,安卓,581
13010,56.8.121.253,贵州省,2025-06-25 01:00:43,baidu.com,984063,f6ca7189-075e-4cc5-ac84-60d720398bc2,Firefox,linux,157
13011,128.52.167.186,湖北省,2025-02-20 09:21:53,weibo.com,355506,19ebb6d9-add1-4273-99fe-ba0bb9f4a1b5,Chrome,macOS,68
13012,205.111.218.12,河北省,2025-09-08 13:34:33,weibo.com,412826,52a44ef3-8c91-4343-8801-e5b10e857210,Safari,win,244
13013,156.111.241.195,甘肃省,2025-10-15 14:54:05,weibo.com,326734,26848f87-3f06-40a3-a663-05784c993577,Safari,ios,143
13014,156.128.40.19,新疆维吾尔自治区,2025-01-11 14:19:23,aliyun.com,654713,8643cd12-586e-417a-856a-1c2556dede9f,Firefox,ios,368
13015,215.88.197.31,台湾省,2025-09-04 15:31:53,bilibili.com,408105,7e8e9aac-66c6-4f2d-a0c3-9c693c125dee,Firefox,安卓,132
13016,176.2.220.84,安徽省,2025-04-28 08:36:03,qq.com,304676,3fc290a6-21de-4228-aaed-4bf44448e68b,Chrome,win,413
13017,153.158.112.42,吉林省,2025-05-14 20:34:46,bilibili.com,281419,a30b179e-2171-44f7-87be-e960f0c966c6,Chrome,macOS,407
13018,177.246.136.15,四川省,2025-05-30 09:10:54,xiaohongshu.com,936751,9b683372-d584-4e35-aa6f-49a04f46354a,Edge,macOS,169
13019,186.185.130.129,北京市,2025-12-08 09:58:02,douyin.com,922571,8398fd81-3e62-428d-bbdc-3dd76e3a7696,Chrome,linux,251
13020,105.19.53.30,广东省,2025-11-09 16:01:25,baidu.com,756404,9373cb01-6dc7-47f3-8030-ebbc76fa23e9,Firefox,macOS,150
13021,143.76.88.242,西藏自治区,2025-06-22 04:48:49,douyin.com,870471,97b4abb1-085f-420b-b93b-cdc348a4a745,Edge,linux,496
13022,210.139.53.229,福建省,2025-01-30 22:04:08,aliyun.com,757231,23833dc5-b35b-4df3-b607-d9b56ef45752,Edge,linux,515
13023,102.129.30.238,黑龙江省,2025-10-30 03:15:49,jd.com,628509,db89be7f-f264-45be-bf6a-7b30bcd0d432,Firefox,安卓,186
13024,58.32.119.187,上海市,2025-01-15 19:45:20,taobao.com,434262,62eab2ff-568f-441e-98ca-c3845fae02ff,Firefox,win,235
13025,202.244.126.213,广西壮族自治区,2025-07-22 16:39:41,qq.com,666112,7dd339b3-ab35-4e68-a826-24973b23e9dc,Firefox,linux,154
13026,75.88.117.63,湖北省,2025-03-03 08:27:31,qq.com,269304,91b267d3-199a-41ca-a0ce-99c4354f10c2,Safari,win,256
13027,125.205.254.8,浙江省,2025-05-30 05:18:13,aliyun.com,642935,cf58766e-c07c-4e3c-887f-8c6b5315f967,Firefox,安卓,557
13028,45.81.216.107,陕西省,2025-08-20 16:46:22,jd.com,271819,bb023c18-b065-4a55-a876-660d1dc45e4f,Chrome,win,341
13029,145.166.101.40,澳门特别行政区,2025-03-05 07:28:13,weibo.com,240585,086efb4d-05b8-475d-a43d-2e9fe970deb4,Firefox,ios,265
13030,160.229.130.99,甘肃省,2025-03-24 21:11:25,baidu.com,823357,0b18f219-a1a1-436c-9b5d-ae9d31e5c818,Firefox,linux,53
13031,61.91.27.86,澳门特别行政区,2025-12-29 02:49:55,taobao.com,529435,502ef322-9ff9-4f46-8fbb-e4d153e00026,Chrome,macOS,534
13032,83.225.119.47,上海市,2025-07-11 13:28:34,xiaohongshu.com,407952,51569c35-ee5e-4af7-9263-3fcdb13fc88d,Chrome,linux,334
13033,136.20.130.53,西藏自治区,2025-10-14 06:59:56,github.com,923409,8b56ac62-420b-4a72-b29f-40838b0f4ad4,Safari,安卓,508
13034,76.80.246.24,广东省,2025-06-21 02:43:14,douyin.com,257638,35792b85-eeae-4921-9d79-a2839c2502fb,Edge,macOS,372
13035,116.230.228.89,江苏省,2025-04-21 00:16:11,bilibili.com,613146,9a536a7c-2466-493d-bd25-cebb5149c0c8,Firefox,ios,289
13036,181.149.204.215,江苏省,2025-03-19 15:47:57,taobao.com,356939,27a00d42-5d05-4f2e-9d0d-58c7b9d362b8,Firefox,安卓,541
13037,164.94.152.170,四川省,2025-11-08 15:40:37,qq.com,345008,4aebb3aa-9725-4a93-9afe-8775448ee6f3,Chrome,安卓,414
13038,39.78.205.97,甘肃省,2025-12-08 20:37:16,taobao.com,924266,d1f83e71-b128-4db1-a4f0-188cee84fa0a,Chrome,win,285
13039,21.158.60.172,湖北省,2025-11-01 17:26:51,jd.com,115613,79844314-2321-4b23-ab36-2097c162e65d,Chrome,win,579
13040,215.36.155.163,河北省,2025-04-12 10:45:37,qq.com,613379,f9814a09-7b90-4486-9bc5-0b80a6978090,Firefox,安卓,316
13041,198.41.49.123,湖南省,2025-06-04 00:43:50,taobao.com,842959,5fa1089b-52ad-420b-a965-fc27b34b1580,Safari,win,245
13042,209.133.206.193,甘肃省,2025-10-06 14:27:25,aliyun.com,907663,0bedd2cb-6e3c-448a-943e-7a1cdf76692f,Firefox,ios,563
13043,197.154.193.247,云南省,2025-09-11 14:52:03,weibo.com,502702,386c3355-4efd-4b38-b5ef-8ef19c30e8e4,Firefox,ios,444
13044,216.123.182.237,江苏省,2025-06-25 05:52:30,weibo.com,121574,7dce2aef-52a5-468b-937e-ce980b39ab36,Chrome,linux,60
13045,40.45.109.153,陕西省,2025-09-08 16:54:32,qq.com,337521,e3206ddd-1ecd-4e2f-bfd9-7fb27d8d32bf,Edge,macOS,489
13046,112.157.27.184,浙江省,2025-05-04 11:40:11,jd.com,977063,d3c06d45-00ba-4544-b07f-879a54793c72,Edge,ios,223
13047,13.107.53.167,新疆维吾尔自治区,2025-01-16 08:17:45,qq.com,821210,4897df84-7719-4790-9af9-c0659e1e3277,Firefox,ios,290
13048,64.138.232.55,台湾省,2025-07-24 06:08:22,xiaohongshu.com,134311,b37e9493-74dc-4aca-932b-699d18281c94,Chrome,安卓,504
13049,197.99.0.33,浙江省,2025-11-30 04:50:18,xiaohongshu.com,631347,46acdb87-5bdd-4eee-a1d6-709e0c95c76f,Safari,linux,53
13050,74.27.22.176,河南省,2025-01-22 10:01:48,jd.com,645059,45c0f798-46ae-4aec-a758-092f6a3d5053,Safari,ios,263
13051,184.239.100.242,河北省,2025-10-20 04:14:00,taobao.com,405475,fd5a8333-5b02-40e8-a6ee-7349c16a413b,Edge,linux,366
13052,199.179.63.78,四川省,2025-03-12 02:39:21,qq.com,608978,0a6a7e53-3c3f-4b52-ab98-6f6076b86368,Safari,ios,79
13053,71.142.187.40,上海市,2025-11-21 00:46:24,douyin.com,283788,8db8b345-1777-43b2-be00-63e3b906b57d,Safari,ios,159
13054,45.161.3.9,山东省,2025-01-21 04:13:59,qq.com,298974,3192a08a-b2d3-4b3a-841e-3885a72cd5b1,Chrome,安卓,94
