ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
12001,19.162.249.21,湖北省,2025-10-11 19:49:10,github.com,982556,1ba52f44-a4cd-4f19-afeb-5dbbc4016305,Firefox,ios,517
12002,171.198.44.109,广西壮族自治区,2025-04-18 22:57:30,douyin.com,244452,9dca1e4e-284a-4565-8411-1ef88e3e3927,Chrome,安卓,154
12003,152.94.101.115,西藏自治区,2025-02-18 23:57:45,qq.com,599447,0a538108-325f-4027-80ff-177bbfd12346,Safari,ios,182
12004,208.200.225.136,黑龙江省,2025-05-29 07:23:58,taobao.com,587860,958588b5-0c2c-4f5e-b876-6374fbb1f448,Chrome,linux,18
12005,18.167.15.91,辽宁省,2025-01-03 04:15:22,taobao.com,643148,35e4fc36-0294-4e5c-bb66-b4cf1954129a,Safari,linux,353
12006,12.84.46.131,青海省,2025-09-04 19:47:49,taobao.com,533469,db4c7755-faaf-4df3-9f15-802c81e0c161,Chrome,ios,509
12007,123.20.202.204,广西壮族自治区,2025-01-03 21:38:11,baidu.com,887933,5a39bd11-afa6-4cb1-9bc3-5eee839b11a5,Firefox,linux,477
12008,217.66.228.156,安徽省,2025-04-27 10:40:18,aliyun.com,713143,4909f450-f29b-4915-93e4-9463ef38c241,Firefox,ios,99
12009,14.99.131.125,四川省,2025-01-01 02:00:52,jd.com,351785,eecbd293-a56d-4340-bbd6-313df444b48e,Edge,安卓,456
12010,153.48.132.197,江西省,2025-01-10 08:14:46,bilibili.com,241551,86958d76-e9b4-4090-b50f-29630cad77f9,Safari,安卓,300
12011,209.162.119.165,辽宁省,2025-01-31 20:36:33,jd.com,407875,4572d1f9-1630-4066-89f7-f66ceda403ef,Safari,ios,54
12012,20.206.153.126,河南省,2025-06-30 23:09:04,xiaohongshu.com,731307,f45dee65-167f-4b10-ba7d-ba5910656f0a,Safari,win,123
12013,187.32.235.73,江西省,2025-07-18 16:22:32,aliyun.com,524671,b19a0da4-8f0a-4179-bb4d-7a7a10442bb5,Chrome,linux,389
12014,12.158.209.189,陕西省,2025-12-20 05:06:48,github.com,231800,dbf60821-7578-4162-be20-3d0fb1da093d,Edge,linux,252
12015,147.123.86.79,山东省,2025-05-09 00:13:24,taobao.com,585011,2feaf333-761d-436a-baa8-ad931829f283,Chrome,win,358
12016,192.225.42.136,黑龙江省,2025-05-31 03:33:12,github.com,782696,50243d93-f99f-4582-a786-ba846e530ba9,Chrome,win,536
12017,140.218.77.175,广东省,2025-12-20 22:50:49,qq.com,986300,5291d6c1-1782-452c-acdc-520efd1d4aa7,Firefox,ios,397
12018,47.143.108.110,四川省,2025-12-30 04:47:51,baidu.com,706521,06c33862-176a-4529-a8c1-84e847151d34,Edge,win,346
12019,160.111.241.1,云南省,2025-08-02 07:04:39,aliyun.com,706543,fc05c443-4241-45a8-b27d-d9a9c1dd9f7d,Firefox,安卓,441
12020,55.0.76.238,四川省,2025-06-15 17:14:12,xiaohongshu.com,787580,f6f053d6-ee04-4ef4-bffe-ac78dd2e3c00,Edge,macOS,567
12021,219.246.3.247,云南省,2025-09-09 16:51:12,baidu.com,174564,44dc12f4-5d05-4952-a2f7-1c8f82a6cb89,Edge,win,74
12022,78.23.141.148,河南省,2025-12-27 09:48:57,baidu.com,828666,b2bc0685-fa72-494f-8e0c-fa2d4d8a1a05,Edge,linux,74
12023,66.121.183.201,河北省,2025-07-15 17:37:58,github.com,623349,8fafa104-9ab6-459c-a203-3916f5df095e,Edge,win,261
12024,135.165.175.173,山东省,2025-11-10 12:15:25,aliyun.com,778690,3491e02f-719b-4720-abdb-f96dc62dbdc9,Safari,linux,223
12025,78.150.139.245,河北省,2025-05-23 10:13:15,baidu.com,597855,843e9680-5fa8-4f6a-bd85-5505672df725,Firefox,ios,374
12026,190.160.13.50,河南省,2025-12-18 00:21:50,bilibili.com,941933,d9cb5b88-f55a-4c1b-9ecb-46fa15d9a6c4,Firefox,win,492
12027,12.1.205.61,福建省,2025-01-24 08:02:26,qq.com,186364,a194ae41-c5cb-4297-8f2d-6dd5ecc3a290,Chrome,macOS,114
12028,85.134.62.241,广西壮族自治区,2025-02-07 07:24:45,jd.com,825334,d62cd963-49de-4874-bcd0-11d71d4b8348,Chrome,安卓,488
12029,133.47.217.215,贵州省,2025-02-01 02:11:24,jd.com,416552,cbe23c0a-6671-48fe-bcda-3b16681bab31,Edge,linux,396
12030,200.79.251.158,黑龙江省,2025-09-07 00:43:16,xiaohongshu.com,270677,19ee76e5-d434-4188-82da-e07930ce56cf,Chrome,linux,473
12031,218.107.48.116,宁夏回族自治区,2025-02-26 13:02:04,taobao.com,805683,b53e2080-cc36-4bf9-8617-874746a76700,Edge,win,334
12032,53.139.247.226,青海省,2025-05-04 08:51:17,github.com,612659,d3ec60b9-6921-40ed-aac4-c5b3ca58c45e,Safari,win,159
12033,161.114.72.221,辽宁省,2025-10-23 08:40:15,qq.com,823288,a8ee5fb9-5dcb-4d97-a30b-904ba7bf8817,Firefox,ios,551
12034,131.37.222.199,云南省,2025-01-28 07:06:59,xiaohongshu.com,646524,0e259114-eceb-4269-824c-858c4f7ca2be,Chrome,win,522
12035,209.155.58.12,辽宁省,2025-05-17 02:32:43,bilibili.com,735748,45e76bdb-2193-4a1f-97fc-9b55ff5d145c,Firefox,安卓,492
12036,192.57.200.102,广东省,2025-09-08 06:26:05,qq.com,139247,57ec09ea-aae3-450c-83cc-7cc492ed69b2,Chrome,linux,579
12037,19.87.78.178,贵州省,2025-08-26 12:55:34,weibo.com,864421,ab76c9df-e85e-4150-baf1-922061fcd232,Firefox,macOS,186
12038,208.14.228.154,台湾省,2025-10-02 23:59:19,taobao.com,813467,8f6ef04a-c0c0-4a57-8e4f-3e3e6ef9b9cb,Safari,安卓,206
12039,102.204.169.162,新疆维吾尔自治区,2025-03-29 08:56:39,aliyun.com,298071,43426f9e-fc64-40d3-a94d-25711eac3bcf,Chrome,linux,96
12040,180.23.103.113,黑龙江省,2025-09-12 19:56:09,aliyun.com,489071,fadd74ba-b8ad-4f6e-8422-27dff1496211,Safari,ios,385
12041,8.36.152.111,台湾省,2025-01-18 19:39:45,aliyun.com,466820,b1d88d10-8f39-4006-aa7d-c3e583a01ce9,Edge,linux,300
12042,170.4.102.73,台湾省,2025-11-24 19:55:54,jd.com,412031,d44a456c-8353-4c1a-b3ec-5b256f43e5f0,Edge,macOS,532
12043,104.202.157.251,四川省,2025-10-07 13:04:02,bilibili.com,807745,d433a800-8136-47aa-902e-8c71417b643e,Firefox,linux,316
12044,103.184.235.67,河北省,2025-11-14 03:10:25,github.com,519265,2038fc55-8c72-4028-a3e0-5005ddc43561,Edge,macOS,501
12045,102.177.106.146,上海市,2025-01-14 05:23:52,bilibili.com,686632,7a874abd-890e-4e49-bfda-211e111460e7,Edge,macOS,370
12046,79.3.1.73,内蒙古自治区,2025-01-12 04:07:36,douyin.com,598774,be30c074-f32b-4244-8e21-205c2319796f,Chrome,linux,37
12047,66.205.10.0,安徽省,2025-10-02 23:56:35,baidu.com,327201,da266d9f-fd12-4034-a4eb-590b780ac760,Chrome,macOS,587
12048,116.157.1.187,陕西省,2025-01-02 13:12:52,douyin.com,554883,1708b6ab-22d3-43e2-a4b9-f0f969e97771,Edge,ios,225
12049,65.37.44.131,河北省,2025-06-10 16:44:06,bilibili.com,766018,72c4178c-ac13-4887-8015-9d581e4bbb36,Chrome,macOS,404
12050,189.233.39.56,北京市,2025-06-04 06:01:48,qq.com,543111,3e413705-0d8f-4106-a2ae-c3a5b4d91f69,Edge,安卓,101
12051,171.119.50.217,青海省,2025-11-14 18:24:58,xiaohongshu.com,780461,63d28afc-74fb-49de-9b6e-b46ac936a17c,Safari,macOS,285
12052,149.19.116.122,北京市,2025-10-30 17:32:00,jd.com,799070,4c357923-a372-4f0d-b19a-bfbbd1592559,Edge,win,224
12053,200.151.184.155,北京市,2025-02-08 07:04:34,baidu.com,525338,45f060e6-f580-40ba-8589-1e749fc1f197,Firefox,安卓,55
12054,219.217.20.147,陕西省,2025-02-09 17:11:15,taobao.com,198831,4aa70829-5ff0-4b6b-bf69-b9110786a802,Chrome,安卓,375
12055,173.64.97.80,辽宁省,2025-05-04 15:44:39,douyin.com,261131,418e0491-c258-4971-97c5-2096ae124467,Edge,win,29
12056,22.196.104.165,四川省,2025-01-05 14:45:51,qq.com,288700,8e325344-586d-4d57-83f3-da5a59ba1b28,Firefox,安卓,210
12057,107.186.218.23,海南省,2025-10-04 19:50:53,qq.com,248303,57c58460-6339-4935-82e8-5b517a8d0646,Edge,ios,65
12058,121.225.237.102,重庆市,2025-10-22 00:37:29,github.com,166518,6ebdfca0-1446-4e5b-8ea3-35369abab49c,Firefox,安卓,551
12059,159.118.106.59,广东省,2025-07-25 08:44:27,qq.com,124029,65e10701-a98b-4e36-814c-f2de3ad2eb85,Edge,安卓,67
12060,174.80.242.180,江苏省,2025-10-05 12:31:25,qq.com,723484,5f715da9-bdea-42e0-8ee6-cb25988272a4,Safari,win,87
12061,89.123.127.88,山西省,2025-12-04 03:54:32,xiaohongshu.com,792341,01c26676-f489-4b7c-9984-e3c55394e8e4,Chrome,win,533
12062,34.248.134.75,西藏自治区,2025-02-27 04:45:11,xiaohongshu.com,509736,4c08fdcd-da23-47c0-b5e7-e74f41562759,Edge,linux,154
12063,18.86.40.14,海南省,2025-01-16 08:21:02,weibo.com,196362,9b175307-3877-48a5-a4b9-6a96f485a2f1,Chrome,macOS,269
12064,119.145.67.101,河北省,2025-12-20 11:06:33,taobao.com,550412,825bd5b2-b11e-4009-a704-b41a0edb07af,Safari,ios,244
12065,63.99.185.153,黑龙江省,2025-12-14 02:06:22,weibo.com,313618,0b44a998-55a9-4f04-8141-7f41c7043646,Firefox,ios,58
12066,131.45.55.86,宁夏回族自治区,2025-04-08 16:34:25,xiaohongshu.com,718933,a79aff4f-ffd9-4bf8-8ea3-1675ee6a51f1,Safari,安卓,285
12067,106.117.203.146,天津市,2025-07-17 15:59:57,qq.com,464694,fb1e9ed5-0044-4239-9f83-5988bd8a3418,Firefox,安卓,12
12068,163.219.174.77,山东省,2025-02-04 12:57:38,xiaohongshu.com,384926,04d7f189-3d8f-4062-9e49-7367739f0fbd,Chrome,win,22
12069,136.109.103.129,江苏省,2025-08-08 19:05:09,jd.com,923113,22f24a92-0d58-491e-9cc2-2129315949af,Firefox,macOS,557
12070,19.181.136.222,安徽省,2025-02-02 20:22:15,jd.com,268561,feb6406e-026a-4086-b132-26fe1e15b7af,Firefox,win,345
12071,106.39.185.77,河北省,2025-11-14 08:01:10,taobao.com,374859,46b57a26-6c2c-47bf-ad0d-c967f6d4621b,Firefox,安卓,358
12072,21.61.163.51,福建省,2025-02-17 21:05:28,weibo.com,566138,bffd225c-bc15-44a1-9374-875338186020,Safari,安卓,21
12073,213.215.77.58,天津市,2025-01-17 21:49:56,taobao.com,834602,fe20ff25-5ec3-4390-b6c6-c4bd1bfb15a7,Chrome,ios,121
12074,131.24.63.210,湖南省,2025-08-25 23:00:48,taobao.com,801931,1b745782-2a89-47c8-bd56-7f06c61e6260,Safari,macOS,43
12075,37.130.82.90,重庆市,2025-01-28 01:11:25,xiaohongshu.com,376717,8ca01021-3abd-4770-bd30-ca4065bd2ba4,Safari,win,170
12076,182.171.180.228,新疆维吾尔自治区,2025-02-04 13:41:56,qq.com,556277,c353aad4-ac07-476c-bf3d-613a3785be34,Safari,安卓,263
12077,105.137.143.118,黑龙江省,2025-09-18 14:11:11,douyin.com,389511,a5833ba9-e656-478d-b4e4-c413b90a757f,Chrome,安卓,461
12078,78.185.237.169,云南省,2025-02-26 05:19:15,aliyun.com,358434,537b4682-eb6e-4b06-92a5-269e7050c291,Firefox,linux,542
12079,198.4.170.180,广西壮族自治区,2025-12-24 19:57:00,jd.com,209526,6dbd784e-b2f2-434e-a3f3-c7e4dea0860b,Edge,ios,253
12080,3.42.202.180,贵州省,2025-01-04 06:45:08,douyin.com,962080,34b77b4b-7c5f-4957-b060-254f18c57408,Firefox,linux,198
12081,104.121.160.207,新疆维吾尔自治区,2025-01-10 07:15:05,qq.com,432898,e890d954-cf37-4bcf-be27-29b9cda8f4c2,Safari,linux,290
12082,148.161.225.228,河南省,2025-03-09 14:36:56,jd.com,748012,6ac93bbe-48b1-4c17-9052-47f4b9994a97,Chrome,win,24
12083,27.93.149.59,新疆维吾尔自治区,2025-05-19 06:47:22,xiaohongshu.com,259073,70ed286b-2b66-4685-9864-4164c96650a6,Edge,ios,133
12084,87.118.112.148,西藏自治区,2025-10-10 10:37:45,bilibili.com,392207,5af15c6a-b7e5-48b2-8067-2be1dcbd5427,Chrome,linux,410
12085,3.252.120.184,山西省,2025-02-21 12:06:01,jd.com,562621,1a6d97c2-39bc-4ca4-a7d8-89f68ab83f91,Chrome,linux,590
12086,49.75.169.187,安徽省,2025-09-03 00:38:26,aliyun.com,358117,0ed10231-f235-4814-9995-a8e36155f431,Chrome,win,391
12087,161.146.89.249,台湾省,2025-04-10 09:05:52,xiaohongshu.com,662735,102531e6-7660-40f1-8672-3ced38b428ee,Firefox,win,55
12088,80.237.230.146,吉林省,2025-08-09 20:25:36,aliyun.com,542688,d8d01cc2-3205-4f3e-b0de-bfebbc999f53,Firefox,ios,151
12089,96.53.42.72,内蒙古自治区,2025-11-25 20:06:55,aliyun.com,836595,d4bd06ed-86ca-4da0-9c7a-7d1334b5c01c,Firefox,win,354
12090,193.180.139.166,吉林省,2025-05-19 21:03:43,xiaohongshu.com,442843,a839672d-b012-4fbe-911e-a955f5d8aa35,Chrome,linux,5
