ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
16001,83.117.249.169,吉林省,2025-02-10 03:34:00,weibo.com,936014,677ad159-ecc3-4995-bd0b-9b692315c1d7,Firefox,win,280
16002,130.95.37.1,山东省,2025-04-01 15:07:17,douyin.com,575390,ec07321c-f06d-4405-882a-3f463767b0b6,Chrome,linux,598
16003,174.138.30.171,云南省,2025-07-30 00:48:25,aliyun.com,516071,d8884188-ea39-4f9c-9fc7-7995286aefe8,Firefox,win,269
16004,153.52.247.236,吉林省,2025-01-05 20:52:24,qq.com,638155,a3cde5c7-24cd-42ce-8b7b-adda4c04d742,Safari,安卓,242
16005,168.132.183.253,贵州省,2025-05-12 03:06:54,xiaohongshu.com,316785,d6370cd8-c574-44b3-89f8-0e921d410059,Edge,安卓,22
16006,7.236.108.236,陕西省,2025-01-21 22:34:39,baidu.com,952876,472c3155-7829-4b57-be17-8008baba1046,Safari,linux,268
16007,106.162.89.164,四川省,2025-09-23 10:41:36,bilibili.com,199360,5b07ca36-9b8b-47cd-97a0-816887fd55bb,Edge,安卓,219
16008,85.104.153.233,台湾省,2025-08-18 22:41:53,xiaohongshu.com,633687,1bbad2b8-99ea-4e50-b799-9b8b25a9bf65,Edge,win,34
16009,67.142.199.226,青海省,2025-04-19 21:41:47,baidu.com,236395,7b46f1f9-4c87-4c79-acd2-f23833ef2a01,Chrome,win,483
16010,195.162.59.10,澳门特别行政区,2025-01-09 03:35:13,aliyun.com,109128,cadc9349-78ab-451e-bb96-8633a315dca6,Chrome,linux,44
16011,151.196.155.10,台湾省,2025-11-30 10:06:43,aliyun.com,190754,78243f95-0bbe-4ece-a54d-28290c8b977b,Safari,安卓,317
16012,75.197.186.181,北京市,2025-09-10 05:39:22,douyin.com,696470,43e86f36-feaf-4f68-959c-abd390c46927,Chrome,安卓,526
16013,136.226.10.110,河北省,2025-09-10 15:15:46,weibo.com,516186,b9175544-eb6b-4732-bea0-16c24a54c073,Edge,win,452
16014,76.169.184.154,湖北省,2025-08-23 18:05:54,taobao.com,171311,a714ecd8-1513-4f0b-b704-e1e8d5175d9c,Edge,linux,532
16015,168.17.114.51,上海市,2025-07-05 10:12:53,aliyun.com,192679,23219a0d-d190-4fa5-96c9-ddd1e2c77701,Chrome,macOS,47
16016,48.249.24.82,贵州省,2025-06-06 02:34:27,aliyun.com,950377,d5b59c7c-3422-404f-87d3-693455463d58,Firefox,安卓,90
16017,14.116.99.213,贵州省,2025-11-18 05:20:00,bilibili.com,505881,5c0ed6b1-f3f5-4a0b-85c1-5fd5767cf41a,Edge,安卓,207
16018,113.38.136.55,北京市,2025-12-30 08:53:15,baidu.com,293645,333978f0-cbe3-4598-be7f-3603f95ded96,Firefox,安卓,42
16019,95.81.2.172,辽宁省,2025-02-10 17:07:24,bilibili.com,401246,8ddb00db-d48f-4a4b-993b-874d9201f0c4,Edge,ios,336
16020,48.52.212.254,香港特别行政区,2025-11-13 22:20:51,weibo.com,601118,277dd922-5f4e-41ac-a8e6-3fcce802da0d,Edge,macOS,436
16021,78.137.210.80,江苏省,2025-12-20 20:03:06,aliyun.com,826479,81c9889c-8431-46be-9da2-afdc40153221,Chrome,安卓,146
16022,8.242.172.30,云南省,2025-07-27 14:46:50,jd.com,268666,1b5ff9d4-48f4-4cc8-8d3e-f0181410ece7,Chrome,linux,112
16023,53.121.142.232,河南省,2025-08-25 14:16:59,douyin.com,374096,4af6b7c6-44b2-42c8-aab5-eeb58230d232,Safari,win,111
16024,71.228.126.184,新疆维吾尔自治区,2025-12-24 12:22:14,bilibili.com,763044,e9cd091f-c8b6-4887-aeb2-50f498030387,Safari,安卓,573
16025,39.108.254.175,内蒙古自治区,2025-07-13 03:49:25,qq.com,718255,dbef031c-2771-48a2-8128-9b958aa668a8,Firefox,linux,368
16026,170.136.188.2,四川省,2025-06-07 00:12:53,douyin.com,336791,d1d181e0-5921-444c-84b1-486b92117e49,Chrome,ios,361
16027,13.251.37.127,澳门特别行政区,2025-09-05 15:50:59,github.com,298739,7f0a4a91-b20b-40e8-8af1-2cda455e91c4,Firefox,ios,169
16028,11.173.148.229,广东省,2025-02-16 01:46:34,douyin.com,554538,187c2ef4-335e-4ad0-b612-5b8553955af5,Edge,ios,73
16029,117.101.165.113,湖北省,2025-06-07 09:14:59,jd.com,163282,a292e84b-7e67-4bb8-bdb0-5d21d305db4f,Chrome,linux,146
16030,51.25.112.53,吉林省,2025-10-25 13:19:45,xiaohongshu.com,965116,db633d0e-43d3-4150-ac15-3b532947255d,Chrome,ios,502
16031,59.125.135.88,江苏省,2025-10-09 17:47:05,taobao.com,656996,9cc36f6c-8241-494c-b9f8-5d3b55f0b49c,Firefox,linux,163
