ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
9001,66.110.10.133,重庆市,2025-07-01 08:56:36,weibo.com,760398,d5816ba8-6ee2-4efe-bad0-7b2bf69496e2,Safari,安卓,347
9002,55.241.56.12,江苏省,2025-07-24 21:00:33,jd.com,607964,73883b7e-e64e-4299-98ed-6e6921a0aaa7,Chrome,win,260
9003,185.159.227.182,河南省,2025-04-25 09:09:24,baidu.com,870218,276cbaba-a902-466a-8420-40be6ee4f2d1,Firefox,macOS,48
9004,52.86.174.58,陕西省,2025-12-03 22:10:26,qq.com,378816,3c0ba8be-b5df-4197-9ced-e57d04db6064,Chrome,macOS,556
9005,211.59.52.226,新疆维吾尔自治区,2025-05-31 03:03:47,jd.com,231477,1a7ebb5c-7e7f-4a97-9c72-cba6aa64f9ff,Safari,linux,241
9006,173.153.218.241,内蒙古自治区,2025-09-21 05:23:49,xiaohongshu.com,753643,023d2fe8-29a4-4d98-9862-dbc442f0420c,Edge,ios,50
9007,68.185.165.158,贵州省,2025-04-24 02:02:46,jd.com,224039,efce3100-02b5-4211-a6d9-67167fc552d4,Chrome,win,11
9008,107.238.158.248,山西省,2025-07-16 06:57:56,xiaohongshu.com,372853,62b1ef14-53d9-47ce-9a12-bcdeaf1a71aa,Safari,win,556
9009,9.111.113.99,海南省,2025-12-20 14:26:29,bilibili.com,217339,18a8f8e4-4199-45cf-8eac-ea981c78d5e3,Safari,安卓,209
9010,112.121.130.53,香港特别行政区,2025-10-03 02:32:14,weibo.com,330507,98145e21-2046-4838-84d1-8a3ac660b698,Safari,win,475
9011,80.12.57.96,上海市,2025-10-20 22:57:18,bilibili.com,727834,019aea2b-2da2-46a0-93b1-5ed651b1c0c2,Edge,安卓,387
9012,62.175.112.195,河南省,2025-07-21 03:43:30,github.com,336991,73d4858f-5148-43ea-a677-24799b05ff10,Chrome,macOS,480
9013,65.220.218.234,广东省,2025-10-06 01:53:43,jd.com,949323,231ec1f1-84e6-4612-add4-957b0c74884f,Firefox,win,347
9014,92.221.204.184,湖南省,2025-09-15 18:25:01,jd.com,443198,37c4467a-f47d-4a3c-99bc-996702b95b5e,Safari,macOS,48
9015,143.38.4.206,澳门特别行政区,2025-06-25 07:22:28,baidu.com,691390,6f07d907-888d-4d5d-a087-a0446c187e50,Edge,win,231
9016,157.19.251.31,四川省,2025-06-13 08:49:18,jd.com,557306,f0561248-5d6a-4edf-adb8-57a45775f434,Edge,ios,147
9017,66.137.244.52,海南省,2025-08-14 07:41:31,qq.com,864754,21183e90-47bf-4d07-b1c0-09353a0bf73a,Chrome,安卓,170
9018,9.110.59.249,福建省,2025-10-02 09:48:40,douyin.com,616375,b0c6032a-a050-4239-b963-7c2bb09589b3,Edge,安卓,39
9019,101.57.191.91,河北省,2025-10-13 09:38:31,douyin.com,768136,8690e2ad-8a1b-4ace-a324-d8acf82a20e2,Firefox,安卓,40
9020,211.217.18.179,北京市,2025-09-22 14:12:58,baidu.com,554886,55c343f7-22ae-4e07-8424-e09953ab3c2f,Edge,ios,333
9021,138.117.174.183,福建省,2025-06-01 09:30:20,baidu.com,855575,82ca185d-27ac-43fe-921e-7330fdc3c520,Safari,ios,205
9022,113.255.100.208,黑龙江省,2025-04-26 10:24:01,github.com,352970,b1aec199-9cff-4f10-9d7f-a6e6738d23d5,Firefox,win,207
9023,216.182.32.4,内蒙古自治区,2025-01-07 01:03:18,aliyun.com,183633,f4bc1815-27ba-499d-a127-915e77f21cb7,Safari,linux,161
9024,135.147.75.177,内蒙古自治区,2025-09-09 06:45:01,jd.com,513731,4890c396-3a4f-4427-9042-3ac60a1c0b28,Chrome,win,191
9025,70.85.213.78,内蒙古自治区,2025-12-17 15:00:27,weibo.com,526221,f7013f2e-10a7-449e-a0fa-4e5e4f6c9e2a,Chrome,win,515
9026,106.232.82.42,山东省,2025-10-12 15:38:29,douyin.com,245570,cff2930a-bd56-4e12-b816-a08138e24565,Firefox,linux,6
9027,11.127.66.20,贵州省,2025-02-28 13:59:21,xiaohongshu.com,747061,98845358-adcc-4356-91ec-f36e9e7cfb97,Edge,linux,543
9028,165.185.239.78,河北省,2025-05-25 11:09:37,weibo.com,551690,f111a407-53fe-4ed2-8f09-db1ff0b61c0c,Chrome,macOS,253
9029,141.56.192.151,江西省,2025-05-20 22:40:13,bilibili.com,485155,870cf1ee-e164-4a3a-9f71-74d21afff083,Firefox,安卓,579
9030,213.59.211.149,澳门特别行政区,2025-08-03 16:45:38,bilibili.com,234711,182e69f2-2eaf-46b1-857d-e624fd1f512f,Firefox,安卓,128
9031,35.130.37.101,河南省,2025-06-27 06:32:48,github.com,769627,77830218-1ae5-421b-810d-fe6fe1fae608,Chrome,win,221
9032,85.117.56.201,香港特别行政区,2025-05-28 22:39:50,xiaohongshu.com,348950,680666b3-1c6f-4410-b90e-54e73643a14b,Chrome,linux,383
9033,167.23.56.40,河南省,2025-05-18 19:30:24,aliyun.com,964371,541d3df6-bd5f-4df5-bb8e-33909b8152da,Chrome,win,415
9034,93.249.238.186,福建省,2025-06-16 03:45:22,baidu.com,697611,602114c0-5d04-43c2-93c6-acd2b022ddef,Safari,ios,16
9035,135.219.155.81,吉林省,2025-09-14 17:56:26,weibo.com,431273,10cd3e88-3e99-449e-859e-d0523f1cd51e,Safari,ios,292
9036,84.246.175.249,安徽省,2025-05-18 09:29:49,taobao.com,353734,72cd0e62-2bd3-46fa-baf8-ade60ff02d25,Chrome,ios,47
9037,151.75.144.242,河北省,2025-05-31 10:28:43,qq.com,396376,e5342bd4-548f-446e-a5e9-f9936512d1b2,Firefox,win,594
9038,188.77.40.176,浙江省,2025-09-11 17:12:03,jd.com,894818,6730fd72-3beb-46f2-8d1d-30791335bb01,Safari,linux,521
9039,188.120.190.63,河北省,2025-11-27 18:39:40,douyin.com,658904,005ea363-10b3-4598-9ec7-5be524b18c3c,Firefox,macOS,440
