ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
5001,176.218.192.44,河南省,2025-01-23 02:01:13,aliyun.com,756439,8943b3eb-e63a-4b56-acc7-407cdc224c1f,Safari,macOS,234
5002,132.122.200.210,辽宁省,2025-05-30 18:34:22,github.com,600548,f26d0dd3-380e-4ad9-adea-86f0800065a8,Safari,macOS,213
5003,105.209.244.248,山西省,2025-04-25 10:32:35,baidu.com,571530,46e73319-d4ef-4b71-8689-d8d592c7145b,Edge,macOS,458
5004,73.242.93.121,西藏自治区,2025-07-31 12:56:57,douyin.com,427278,f11d68b3-eedc-419e-81f1-8f06fdf4fd3d,Chrome,win,55
5005,124.35.157.88,黑龙江省,2025-02-12 15:25:25,qq.com,120330,5c13c5b8-f803-4dc3-9d65-a68a0e9d2b50,Safari,linux,430
5006,196.5.119.204,陕西省,2025-07-06 05:59:32,douyin.com,980597,f2b3a15a-3931-44c0-a26b-417f4e3d1a18,Safari,安卓,71
5007,83.118.37.255,宁夏回族自治区,2025-06-03 10:38:01,jd.com,684441,30cbab0d-e0e4-4805-83a0-03a0d4946140,Chrome,ios,287
5008,183.20.207.254,内蒙古自治区,2025-10-22 14:35:59,xiaohongshu.com,862800,bd84d039-a30b-4a5c-a588-08985585db20,Firefox,ios,567
5009,12.42.87.129,湖南省,2025-01-20 13:36:48,qq.com,748589,69e2480e-425e-4fbc-b97a-0e85bfffc58a,Firefox,win,407
5010,163.112.97.49,广东省,2025-08-21 01:17:19,bilibili.com,233377,001fdbd1-dd7a-4902-90e5-e6026ff1012c,Chrome,安卓,453
5011,40.203.5.81,黑龙江省,2025-03-25 04:12:28,qq.com,905855,9e3b86b9-fddb-476a-88a7-a921a10f16aa,Firefox,win,458
5012,41.98.25.62,福建省,2025-04-17 07:33:05,weibo.com,434743,352a6a02-3ebd-4c73-ab40-1590bfa48b44,Safari,win,67
