ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
14001,183.44.135.137,台湾省,2025-11-06 21:24:34,bilibili.com,706950,1f27f844-de79-48a9-bd04-00f2cca02f9b,Chrome,ios,245
14002,169.155.229.88,天津市,2025-12-17 10:32:14,xiaohongshu.com,130183,1ffedded-1d3e-4da5-b107-18a3b48760b1,Edge,macOS,77
14003,160.132.179.202,上海市,2025-01-20 11:35:46,xiaohongshu.com,331861,f0ba934e-9c9d-4c33-a675-80b2beaf57d6,Safari,ios,376
14004,152.160.4.207,青海省,2025-05-02 06:12:17,bilibili.com,558222,12738268-10c4-4a75-b386-60e1bfecca20,Firefox,linux,94
14005,89.160.36.169,新疆维吾尔自治区,2025-01-03 07:25:50,jd.com,666030,6cab0df9-4478-4898-9777-d66bd86ea700,Safari,安卓,337
14006,151.234.118.45,天津市,2025-04-17 06:44:09,taobao.com,427602,66dfb4b6-cae1-4ade-bb9e-bfc00ec077a0,Safari,macOS,33
14007,3.230.243.210,天津市,2025-12-29 18:01:16,xiaohongshu.com,669268,8efba8ab-aceb-406d-8a41-fa9c70f42398,Chrome,win,278
14008,27.245.248.220,吉林省,2025-06-24 05:03:51,bilibili.com,402025,09dd4689-0b40-473d-a9e6-11b564d8fe2c,Edge,macOS,278
14009,12.92.89.26,内蒙古自治区,2025-10-09 18:21:13,jd.com,774790,2bdf7a89-a646-4202-885f-15bf84ed40ea,Safari,win,520
14010,45.141.46.180,四川省,2025-07-14 18:26:11,qq.com,355941,79664e76-e5ae-4a3c-88b4-31607d2effc4,Chrome,ios,126
14011,58.25.57.13,浙江省,2025-02-27 19:02:47,douyin.com,402139,8ea3e9bb-73b4-4133-a112-8182e5ea43e8,Chrome,安卓,19
14012,67.41.224.182,广西壮族自治区,2025-02-19 12:15:41,baidu.com,543018,c450495c-7122-4ea8-87ca-048c34739792,Edge,安卓,132
14013,193.16.56.71,辽宁省,2025-01-13 01:43:14,jd.com,852758,338d54d5-bcbe-45b9-bc19-f135a2bcfef0,Safari,ios,415
14014,54.124.23.230,青海省,2025-03-20 06:34:18,jd.com,469019,bce55744-4d8a-47fe-aa38-cb30fa5f01b5,Chrome,macOS,35
14015,222.168.225.167,贵州省,2025-06-07 04:01:54,weibo.com,247122,349b62dc-e8c1-4f11-b730-be62ce5fb160,Firefox,ios,95
14016,20.210.164.44,香港特别行政区,2025-10-17 19:01:54,xiaohongshu.com,355941,fdceb7ca-7df3-48e4-95cf-49955256799d,Chrome,安卓,318
14017,59.78.213.112,陕西省,2025-06-04 08:39:45,douyin.com,746350,dd40d650-4637-4c47-86e4-4361c8db11ce,Safari,macOS,95
14018,48.158.129.66,山东省,2025-10-03 04:37:25,baidu.com,477495,9f23780e-f4b1-4c58-8143-18c2926811cd,Edge,linux,397
14019,115.147.154.254,江西省,2025-02-16 17:50:07,aliyun.com,215535,68c3d106-20f2-4ebc-98e9-8fa2e5f391e1,Firefox,macOS,179
14020,63.75.65.83,山东省,2025-06-12 10:30:44,douyin.com,961304,a1278ab6-e505-4d46-b3e9-5d045d106bcf,Chrome,ios,325
14021,81.196.53.64,重庆市,2025-06-19 04:37:03,aliyun.com,563091,aaf0d75c-6946-43a7-8ea6-12c50154616b,Edge,linux,11
14022,202.14.65.13,西藏自治区,2025-04-27 11:34:38,baidu.com,368968,a03e0255-4934-425c-b52a-fc55bc64e2d7,Chrome,win,382
14023,68.193.252.155,宁夏回族自治区,2025-10-04 18:47:58,xiaohongshu.com,795566,b972fffc-6873-4079-86ee-241fd416d3fc,Firefox,安卓,573
14024,107.216.148.124,甘肃省,2025-10-14 01:29:13,jd.com,994285,2a0cdf7a-8838-43c1-94e9-b9a354fe7200,Edge,安卓,242
14025,34.167.88.49,福建省,2025-08-19 04:45:06,aliyun.com,727209,bdd27c67-55eb-48aa-b84a-9642bbc5fcb0,Firefox,ios,172
14026,70.52.51.78,四川省,2025-08-14 02:59:44,qq.com,451069,fe0e23a2-bcd8-45dc-b904-387168724333,Firefox,ios,275
14027,64.122.28.69,湖南省,2025-11-03 14:40:09,aliyun.com,866188,e2eec139-86c8-4678-807d-262fc88b408a,Firefox,win,207
14028,76.127.131.170,云南省,2025-06-29 06:29:05,weibo.com,849190,10716901-01f2-49e6-95f6-4d795acd1e2b,Safari,macOS,288
14029,167.124.34.8,广西壮族自治区,2025-07-17 08:22:58,github.com,133358,5b52fa7b-ff4a-4403-92dd-e58a44f9dc8e,Safari,linux,418
14030,211.139.181.249,吉林省,2025-10-05 00:13:56,taobao.com,122819,c468b9b2-8593-462a-83f1-12d62f4d707b,Safari,安卓,83
14031,36.245.245.57,河南省,2025-07-27 06:47:50,aliyun.com,300565,e7c15a14-6356-4cc4-b5cb-1917f9fcadce,Chrome,win,327
14032,190.147.112.211,贵州省,2025-11-05 01:02:44,douyin.com,958453,05ee12ce-fb79-4193-8913-b7b48064f7de,Edge,win,321
14033,77.188.173.182,吉林省,2025-01-27 16:55:43,taobao.com,564390,7792b5c6-a6d2-46d4-8b23-70d222b3fabd,Safari,linux,352
14034,26.98.181.205,海南省,2025-12-07 14:28:07,douyin.com,538921,19144d52-c816-4b4a-a6b3-7b117a5c25b8,Safari,安卓,388
14035,10.159.88.120,内蒙古自治区,2025-08-23 06:35:22,qq.com,731730,bdc101d5-06b1-45cc-a0cb-838e6eb5bfeb,Edge,安卓,146
14036,63.162.22.80,江西省,2025-04-23 13:08:06,aliyun.com,628838,b6993afd-90c6-4eae-a8d6-4f49f8231b0e,Safari,win,243
14037,174.196.165.99,湖南省,2025-08-22 08:52:53,baidu.com,114104,fc2e5241-1044-41c3-9bc4-9db028d9f698,Firefox,linux,364
14038,112.171.202.83,浙江省,2025-04-27 09:49:02,qq.com,531859,b00555ff-04fe-4b65-ad47-2d78d29a18d3,Chrome,安卓,212
14039,17.182.96.49,广西壮族自治区,2025-12-15 06:52:20,jd.com,139876,2992787f-8a39-47bd-af99-ce11aa74a3ac,Edge,安卓,155
14040,26.229.161.116,浙江省,2025-06-13 14:13:06,aliyun.com,140064,d0841622-99dd-41ec-99ee-8839abcfbf7d,Chrome,linux,401
14041,176.78.119.93,广东省,2025-02-28 07:51:22,jd.com,447349,65504b09-fe5e-4b8b-b6c8-82697212a571,Chrome,安卓,457
