ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
8001,132.94.180.137,湖北省,2025-01-14 18:20:52,aliyun.com,839152,d354a6ad-ff4a-4492-a177-0cf2a504c8dc,Chrome,安卓,227
8002,106.122.119.108,澳门特别行政区,2025-08-24 16:05:26,weibo.com,230309,cbecb435-ccfe-4037-b537-1e8f04478390,Edge,ios,576
8003,3.243.97.173,黑龙江省,2025-03-13 05:25:39,github.com,983913,c0e5c968-7353-4344-8fd5-a280e8856a4f,Chrome,linux,418
8004,160.43.119.188,河北省,2025-02-10 06:16:25,xiaohongshu.com,477838,8699543d-ee97-4085-a4f5-51a53d133771,Safari,安卓,45
8005,141.19.226.146,北京市,2025-06-07 17:19:35,bilibili.com,761614,a642550d-f068-46da-a7f4-a15a749a50eb,Firefox,macOS,255
8006,136.220.33.168,吉林省,2025-10-22 22:44:49,weibo.com,632156,5f4c504b-e25c-4197-b9e8-141077d72a58,Firefox,linux,167
8007,196.140.252.100,山西省,2025-09-13 11:57:23,aliyun.com,112608,7124249b-084e-4764-80d6-086003cb00c2,Edge,ios,397
8008,132.45.207.221,新疆维吾尔自治区,2025-08-18 05:50:57,taobao.com,757616,0a2585bd-caea-4f9b-a953-8d9dbf0f93d3,Safari,macOS,589
8009,19.15.73.36,陕西省,2025-08-04 17:24:31,bilibili.com,269588,e87ee0d5-cacf-45f3-8a31-88d54ea7f528,Firefox,macOS,104
8010,143.126.116.177,山西省,2025-05-22 23:15:51,qq.com,430143,9d49ce33-8dda-430e-96b4-184cf6f27836,Edge,ios,142
8011,4.144.117.202,贵州省,2025-10-04 02:54:58,xiaohongshu.com,100906,a45f5d56-712c-4192-adc6-3953b6eb3f9c,Edge,安卓,498
8012,102.88.56.112,河南省,2025-03-08 01:29:13,bilibili.com,810915,6233ef22-519e-44b7-bab5-fb2b3b710fbf,Firefox,ios,497
8013,120.194.154.234,山东省,2025-03-07 08:15:18,taobao.com,294114,de0fb5f8-cd3c-4cb8-909a-8c16f7c93f36,Safari,macOS,145
8014,122.34.48.127,湖南省,2025-08-13 20:05:04,douyin.com,866964,af57e61f-8f82-419c-ad9d-5883a764ffb7,Edge,ios,260
8015,38.152.170.149,山东省,2025-10-12 17:57:51,jd.com,876089,3e4a6f8b-e20e-4933-9a49-6bc32b911d1b,Safari,ios,453
8016,194.72.216.15,宁夏回族自治区,2025-05-06 15:31:10,qq.com,572826,ba3a743d-e88b-4c2b-a05b-73ba97b9ab26,Edge,macOS,398
8017,105.40.87.200,重庆市,2025-07-17 23:55:47,aliyun.com,458082,06f794d5-5310-4794-9239-300105027d06,Chrome,win,404
8018,44.238.33.160,天津市,2025-06-10 11:19:43,baidu.com,184201,531e3081-0d6c-4563-bac5-f005bd7ead96,Firefox,安卓,389
8019,161.156.3.116,北京市,2025-10-11 06:13:47,baidu.com,595191,af81627a-39b5-4d55-8b57-2ff0493604ed,Chrome,macOS,250
8020,146.78.120.147,新疆维吾尔自治区,2025-08-05 19:17:17,xiaohongshu.com,151803,6ebda427-3f84-43b5-b77b-97382b7fc518,Firefox,安卓,427
8021,163.122.88.238,香港特别行政区,2025-04-26 18:20:53,taobao.com,250106,f749b0c5-ce31-4d4d-b954-963e8feb2c5e,Firefox,ios,374
8022,148.70.41.45,江西省,2025-07-08 22:14:57,jd.com,313038,9da50df5-8a15-4540-9ceb-7a26c483432d,Edge,ios,76
8023,6.124.4.158,海南省,2025-07-30 12:00:35,baidu.com,572678,0c5c69c4-2506-4f43-a60f-596ac51e9390,Firefox,ios,206
8024,70.12.250.133,云南省,2025-11-09 03:08:50,aliyun.com,245375,55700901-4578-454c-9794-7afcb7042f2e,Safari,win,589
8025,39.253.97.163,山东省,2025-01-06 12:16:46,qq.com,710088,f7bcd41e-f09a-4fe9-b9e0-f3602de39db6,Chrome,macOS,107
8026,4.35.194.179,湖南省,2025-07-14 02:57:22,weibo.com,711674,b3f1da73-3913-4b5a-a78b-5d4b265d02f6,Edge,ios,427
8027,74.238.42.98,江苏省,2025-03-08 19:41:44,taobao.com,734166,daf15793-bab3-4c54-9ee2-345e9a33a525,Chrome,win,51
8028,182.141.242.33,吉林省,2025-03-21 03:29:41,baidu.com,435237,66512d40-5909-4ef2-91c4-812a5d578eba,Safari,linux,311
8029,116.68.150.127,河南省,2025-06-04 10:03:43,bilibili.com,475943,02900c86-9b4a-47ae-829c-de35c0f21a46,Safari,linux,461
8030,54.225.77.171,天津市,2025-07-16 17:01:56,qq.com,753835,ef7dc0d9-5141-407d-bf09-40600ffc1849,Edge,win,168
8031,223.178.197.215,四川省,2025-10-16 20:24:34,baidu.com,580142,f9d7df8b-d2fa-4cc5-a151-b927a7bfa917,Edge,macOS,147
8032,125.34.206.45,台湾省,2025-05-22 19:31:31,douyin.com,556531,5fca3a87-c6c5-4d40-8487-a674a560c594,Firefox,ios,106
8033,161.219.161.76,浙江省,2025-03-12 09:20:43,github.com,994271,c7d2d148-cf05-4324-b7df-80bb5056c7b8,Edge,macOS,420
8034,109.218.241.200,山西省,2025-08-30 03:14:41,jd.com,154739,e97d8b99-bbb2-4a3a-9b79-026a2a9c9594,Firefox,win,222
8035,13.66.181.188,内蒙古自治区,2025-09-23 02:06:31,weibo.com,672865,df0321f1-0655-4b30-8c6f-869c2dfa83ab,Safari,linux,545
8036,163.211.147.68,山东省,2025-10-06 18:35:39,github.com,715014,38bd3ac8-2381-4d95-a506-26ffe8ffd041,Safari,win,405
8037,173.207.149.44,北京市,2025-06-14 04:37:16,bilibili.com,693230,0fe13fe0-40fc-45c9-9f70-fac5a3319913,Safari,linux,56
8038,151.49.137.69,山东省,2025-12-09 19:30:10,douyin.com,790598,4cb813bb-d3a5-4439-9eb4-e4284c446355,Firefox,win,463
8039,77.253.243.156,重庆市,2025-05-17 20:29:52,weibo.com,689622,1b929de5-010a-45c3-81c2-657ead16eab3,Firefox,win,310
8040,189.188.230.7,贵州省,2025-04-27 05:27:26,jd.com,507074,b8ef4bbe-05ea-4049-a90b-114545d3f5be,Edge,macOS,434
8041,8.189.176.182,吉林省,2025-08-09 04:11:54,bilibili.com,154706,058cfa7a-c4f1-4b14-aa23-c9b99e3d874b,Chrome,win,552
8042,42.219.35.255,吉林省,2025-01-19 03:09:48,qq.com,650064,53064e14-6341-4839-9376-f9228374b407,Edge,linux,500
8043,4.97.139.125,香港特别行政区,2025-12-26 04:48:59,taobao.com,823406,138d174c-9737-47e0-899a-e71468cf783e,Edge,ios,405
8044,6.96.85.62,福建省,2025-09-26 00:09:15,aliyun.com,432685,cb500cfc-5b41-4c2d-bdbe-a062879edefa,Firefox,linux,335
8045,219.238.41.67,青海省,2025-07-28 21:31:35,douyin.com,862234,44862a11-4365-4e06-9524-4c49be399597,Edge,ios,563
8046,48.2.111.194,山东省,2025-12-13 06:46:49,jd.com,256289,bc5c7b2b-c22f-45f6-ba1a-9368bce83f85,Edge,linux,15
8047,139.20.228.196,广西壮族自治区,2025-08-30 15:08:44,jd.com,880974,91d8c8f4-af11-42be-b2e8-010a430af3df,Firefox,macOS,298
8048,99.36.197.212,内蒙古自治区,2025-12-01 01:35:59,aliyun.com,688605,cd06826d-ce1e-434c-8bbd-76c599630880,Firefox,linux,269
8049,107.188.213.231,香港特别行政区,2025-02-12 06:58:05,weibo.com,338084,57d18569-df46-4a83-a8aa-85d48d22e4aa,Firefox,linux,298
8050,175.39.127.212,辽宁省,2025-04-30 07:55:17,weibo.com,112430,1c373d78-a41e-427d-9103-61ba63b11752,Chrome,linux,553
8051,174.188.116.152,云南省,2025-11-12 08:12:59,baidu.com,905955,03e45566-697b-499b-ae2d-9cd9c4760938,Chrome,win,150
8052,142.97.244.79,天津市,2025-09-23 12:49:11,qq.com,557495,32049438-bb3f-4f30-8c2b-234a246f096a,Chrome,linux,411
