ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
4001,73.82.242.246,海南省,2025-04-07 01:23:27,taobao.com,375930,5a84db13-c728-4fdc-a2ba-bf4a18a49008,Chrome,安卓,110
4002,203.166.219.213,江苏省,2025-04-07 03:30:39,qq.com,160571,e258d792-0955-4f0a-a6b6-7e2a4bb568e6,Safari,win,97
4003,212.181.4.137,台湾省,2025-01-10 01:51:10,xiaohongshu.com,402588,2da0ae8f-dbf8-45f8-b5aa-53ab8c8f2bc4,Safari,安卓,277
4004,61.170.201.68,浙江省,2025-03-28 20:37:55,weibo.com,222470,eeff6545-c288-4d32-a220-1384c4623f69,Safari,win,539
4005,219.204.101.129,陕西省,2025-05-31 01:40:46,github.com,235858,7d5fc3d3-7e62-4d07-8f60-af49aff18772,Chrome,ios,271
4006,201.12.27.180,内蒙古自治区,2025-03-06 06:42:56,aliyun.com,785171,bfc4c212-0d70-4a4f-9056-b0bb0d7c9a32,Safari,ios,277
4007,9.10.186.181,山西省,2025-03-31 08:21:14,baidu.com,340487,b08d7083-cee6-4f68-bb1e-17c9d92f3407,Chrome,linux,106
4008,164.30.121.193,安徽省,2025-11-25 03:35:59,aliyun.com,497685,d7981da2-5cce-4ef5-bbbe-1b27d960634d,Edge,win,583
4009,173.76.198.180,福建省,2025-05-01 02:47:59,jd.com,853428,5e076dba-8aed-41db-a6fb-5dc71f4c53e0,Chrome,macOS,17
4010,66.138.108.247,台湾省,2025-04-12 03:44:57,taobao.com,269763,587c3de2-1209-49fb-a788-c86743089af2,Firefox,linux,499
4011,126.181.32.101,宁夏回族自治区,2025-03-22 10:32:31,weibo.com,484597,9c8bdd3c-98cf-487b-8c36-a804bfb0b3f1,Chrome,安卓,450
4012,45.82.70.144,陕西省,2025-02-24 09:18:22,aliyun.com,766282,51d3bae3-7e85-47ee-9fd2-e6f75aa9de46,Safari,ios,296
4013,79.104.2.118,安徽省,2025-11-24 08:36:28,bilibili.com,949871,65461ea0-10e7-4f73-a7f8-461f2358eda1,Safari,安卓,105
4014,84.69.94.82,浙江省,2025-08-14 11:17:16,douyin.com,471058,f517e0e4-00a0-4466-9f79-a89ba6d3e7dd,Firefox,macOS,392
4015,5.76.204.167,安徽省,2025-08-17 08:59:51,taobao.com,786057,7002aece-b883-45da-9079-c3c8d7cc4278,Safari,ios,136
4016,136.62.255.77,重庆市,2025-07-12 03:47:36,jd.com,548502,e469a213-84fc-43e5-b603-127a4ec75259,Firefox,win,442
4017,167.230.210.35,湖北省,2025-08-19 19:38:46,qq.com,332661,3fe18cb0-c8f7-4c8d-94d3-887108702e49,Edge,linux,86
4018,50.14.40.232,吉林省,2025-08-08 12:48:56,xiaohongshu.com,518364,b91f1cac-e169-4714-b11d-decfa4febda4,Chrome,macOS,190
4019,119.225.171.16,辽宁省,2025-01-02 20:39:10,github.com,988859,a7afa4e1-3186-44b5-a661-8af80c1f8a4a,Firefox,安卓,598
4020,40.149.28.138,江苏省,2025-05-21 15:42:43,github.com,209773,2f455b42-69e8-4092-a9df-be8c62d9b955,Firefox,安卓,460
4021,40.22.145.66,四川省,2025-02-08 13:40:10,bilibili.com,672376,6c0a43a1-05f5-418a-8552-d3403fcf85f5,Chrome,安卓,447
4022,126.154.243.53,安徽省,2025-05-23 15:14:24,baidu.com,942361,dacda1bc-e645-49c2-aaf4-7e215d8aef4b,Chrome,win,71
4023,100.237.89.229,福建省,2025-06-15 21:29:22,douyin.com,385806,e4686bf3-b86f-4d93-8163-5ff12643ff12,Chrome,win,331
4024,159.205.231.144,北京市,2025-01-20 12:15:29,qq.com,505545,cd0137b1-f8b8-4d64-b23c-901c1a95da9b,Safari,linux,429
4025,218.179.97.144,台湾省,2025-09-25 11:37:45,taobao.com,660406,6c34ab05-9161-4887-ac90-045b87162cf7,Chrome,win,598
4026,208.172.144.62,云南省,2025-04-11 03:06:26,aliyun.com,472363,83283005-bc41-4a3c-8e08-646545a08ed1,Firefox,安卓,223
4027,19.243.4.198,西藏自治区,2025-12-12 04:29:05,qq.com,842804,03533d5d-ff56-4ac3-a9d0-29bfc05f8858,Firefox,win,313
4028,31.234.113.69,澳门特别行政区,2025-10-19 23:20:29,taobao.com,851081,7251faa2-9c58-456c-ad69-24a36ddbe23d,Firefox,win,330
4029,64.252.216.138,新疆维吾尔自治区,2025-07-29 14:23:57,bilibili.com,563112,bd6f4957-dd4a-4147-a3b1-0254ce79cdfb,Chrome,安卓,503
4030,53.232.88.15,宁夏回族自治区,2025-02-09 02:06:35,github.com,151312,61895200-7c21-4cb4-a403-f201ab0479c4,Chrome,linux,365
4031,147.0.65.176,广东省,2025-11-27 17:08:21,jd.com,941680,c0a0fe94-cb5f-4c11-aeda-25aae829e92c,Chrome,macOS,10
4032,136.195.26.212,内蒙古自治区,2025-04-01 04:33:26,baidu.com,523673,3b644858-9c38-40d5-915d-ff0a8482b800,Edge,macOS,600
