ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
2001,210.236.78.224,青海省,2025-10-16 03:56:49,github.com,863322,fb56b15d-58be-4307-ae8e-6527843b0427,Edge,macOS,530
2002,214.237.150.246,湖北省,2025-11-05 23:27:18,baidu.com,812192,136b39f7-6a0c-4e1c-91d3-5581e8cf922e,Firefox,安卓,102
2003,158.98.126.183,湖南省,2025-02-18 18:28:10,aliyun.com,566622,556f9a0d-c581-42c9-8a0b-158384410ab5,Firefox,win,599
2004,178.217.6.218,陕西省,2025-04-03 07:15:25,jd.com,814069,9aba473d-fc82-4f1f-8aad-0af022727690,Edge,win,377
2005,148.84.15.220,吉林省,2025-11-25 18:06:32,bilibili.com,559370,f7d57eed-20f2-47d1-aad0-3a769c2e085e,Edge,ios,211
2006,102.230.110.198,贵州省,2025-07-16 07:12:47,baidu.com,857093,32a04c67-0986-4575-a22d-04187ac8e9c9,Firefox,linux,561
2007,159.12.30.182,上海市,2025-10-01 09:17:17,github.com,367201,3ff7aa15-b384-4aba-85ad-e64e7614e3fc,Edge,ios,237
2008,98.90.85.0,吉林省,2025-05-17 13:37:04,github.com,205444,8cb5abfc-deb7-400d-bc10-17ed2de401bb,Edge,win,85
2009,74.243.176.84,陕西省,2025-06-05 16:29:43,douyin.com,804372,6bfde92b-0774-4468-83dd-51b76feeec21,Chrome,安卓,489
2010,49.88.211.166,浙江省,2025-05-10 08:44:54,baidu.com,523580,fdf04de5-1ae8-45e9-a7b5-838e8f3bbeff,Chrome,ios,385
2011,197.188.0.103,黑龙江省,2025-01-03 15:06:43,jd.com,936768,49913183-1834-49ac-af34-4d1f4058edad,Firefox,win,261
2012,26.64.93.107,湖南省,2025-07-04 04:02:54,xiaohongshu.com,306188,2cb733fc-7382-4134-b211-b0e6f1ebcc7f,Firefox,安卓,223
2013,223.20.79.76,云南省,2025-09-20 07:43:07,bilibili.com,273089,027a82ce-41aa-4e77-98a8-8408e052297c,Edge,macOS,218
2014,193.208.42.116,北京市,2025-04-28 21:34:31,xiaohongshu.com,740659,b00218ac-ada7-4fe4-8bb3-40e8b4b45906,Chrome,ios,381
