ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
15001,124.169.161.172,北京市,2025-03-11 07:36:02,jd.com,862729,633833c3-cd7e-44c4-980f-011ed71c3bed,Edge,ios,239
15002,212.207.76.21,四川省,2025-10-14 09:51:51,jd.com,647827,2bf7dbc4-65cc-455d-bfa3-30ca32e4f21e,Chrome,win,83
15003,72.184.94.248,内蒙古自治区,2025-07-23 12:14:17,weibo.com,945991,b33e1496-22d8-406e-9b7b-4363e080801b,Firefox,linux,469
15004,6.134.26.197,广西壮族自治区,2025-06-05 09:06:43,jd.com,932715,35f5a404-63b7-4be4-aeb2-b4075480bd05,Safari,macOS,150
15005,95.176.149.47,河北省,2025-06-22 20:42:25,taobao.com,684586,1c79fd44-aa89-4545-8216-2b78dbe376a2,Chrome,linux,257
15006,121.50.103.194,辽宁省,2025-06-12 21:44:49,baidu.com,321375,069f44d6-712d-43d0-8224-201a53d108fc,Edge,win,121
15007,78.58.236.227,吉林省,2025-04-09 07:09:19,jd.com,331455,b7a1c3e9-2df6-4672-9659-06f2a696ca12,Edge,win,260
15008,201.127.157.171,广西壮族自治区,2025-02-13 00:32:30,qq.com,477375,cc3a905d-2a4a-43d4-8a37-dee67576ccdc,Safari,ios,569
15009,150.216.101.12,陕西省,2025-02-05 00:10:45,baidu.com,359929,748fda75-929f-4084-9cab-137f57d7bbbe,Safari,ios,309
15010,13.63.38.85,天津市,2025-09-11 07:52:55,jd.com,252101,fff56fff-0d87-4aac-b3f0-9c0dc81c824e,Chrome,win,443
15011,198.118.74.143,重庆市,2025-05-02 06:31:35,xiaohongshu.com,574788,f7e9caf5-c6b0-4909-8268-1b295de91733,Edge,安卓,395
15012,72.125.127.22,北京市,2025-09-13 23:08:58,xiaohongshu.com,462449,b181d32e-9097-47fd-b033-907651f09164,Chrome,linux,124
15013,158.136.165.53,广西壮族自治区,2025-12-21 18:44:58,weibo.com,850026,0d05dd3a-3762-4091-a477-f376191bc6ad,Firefox,win,289
