ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
7001,153.94.31.226,宁夏回族自治区,2025-09-14 04:58:24,weibo.com,677181,2de53977-bf63-4f8e-be39-61ad438a69ad,Safari,安卓,177
7002,209.141.57.205,上海市,2025-08-22 08:55:04,qq.com,199818,93b688b7-113e-4d5f-ba7e-9543904129b3,Firefox,安卓,422
7003,3.107.56.243,澳门特别行政区,2025-01-17 02:54:32,douyin.com,191595,57349dfc-467c-4e96-8d7c-1c2c12583db3,Firefox,win,172
7004,54.207.184.204,江苏省,2025-02-15 02:12:43,xiaohongshu.com,478013,05098aec-eb81-4a44-b36e-aa9eab4d8b08,Chrome,安卓,39
7005,197.139.53.105,河北省,2025-01-30 16:00:32,douyin.com,711737,f93c6033-8a51-46de-aa4f-b80287255c12,Chrome,linux,105
7006,56.99.70.19,四川省,2025-09-23 19:27:01,baidu.com,619498,74c1ca12-e757-4abe-bb40-a220abb7caca,Chrome,ios,229
7007,110.81.131.234,河南省,2025-11-24 12:41:39,taobao.com,594698,ec7822d2-f959-4af0-b588-a4b4d63802c1,Safari,macOS,465
7008,58.187.96.240,台湾省,2025-07-21 21:10:43,bilibili.com,184370,85eb9d94-44db-49ca-aee9-09aab89bf976,Safari,win,186
7009,70.103.117.80,广西壮族自治区,2025-04-23 16:33:38,baidu.com,457734,989eba6f-9f3e-44a7-8101-acb66bfc0ec3,Safari,macOS,433
7010,108.200.40.227,海南省,2025-10-29 16:11:33,qq.com,575033,8e3594e1-ba30-4789-96b4-dad27d31b77d,Chrome,安卓,27
7011,190.111.33.162,西藏自治区,2025-05-30 14:03:13,baidu.com,750446,febb7610-f2e1-4d37-9ef6-6b00ced260ef,Firefox,ios,575
7012,91.38.14.84,台湾省,2025-01-19 06:52:10,jd.com,187709,a251281d-24fa-4585-8ec1-2f84e3b81aef,Safari,ios,588
7013,126.158.110.246,甘肃省,2025-03-10 15:41:38,jd.com,420610,40d4dd9d-844f-4fe4-b052-31c78a8c7624,Firefox,win,540
7014,64.35.127.85,江西省,2025-08-03 06:00:00,xiaohongshu.com,785966,3853b338-2232-4cc9-b891-e7ae3d104cb3,Firefox,ios,259
7015,118.102.22.94,浙江省,2025-05-25 08:18:16,taobao.com,795769,40b2521f-a7de-4aba-96c3-239ea80d74ba,Edge,安卓,98
7016,43.206.170.0,湖南省,2025-05-20 16:14:56,baidu.com,223389,06a987ba-a699-4c3b-9caa-061265e201c2,Safari,macOS,483
7017,83.181.173.225,台湾省,2025-12-24 12:58:31,weibo.com,276191,a065092a-e694-453c-9c9d-1b76da365420,Firefox,linux,540
7018,66.227.181.137,西藏自治区,2025-01-18 18:20:25,baidu.com,976448,c1be6b58-b2f6-476f-8b8e-e32fa6dfbdc8,Safari,macOS,442
7019,193.160.19.81,西藏自治区,2025-09-21 12:29:34,baidu.com,766657,8add3939-551a-43ec-837e-83438d76a25e,Edge,macOS,241
7020,172.202.165.199,陕西省,2025-11-14 12:53:57,xiaohongshu.com,145509,873cc051-79cd-4cd7-bf6a-d9d8e1f078dc,Safari,win,340
7021,72.244.197.112,上海市,2025-06-25 09:38:58,taobao.com,587252,34679e62-bf5c-400e-9be9-6c1ab686632a,Safari,ios,174
7022,116.54.12.169,黑龙江省,2025-08-30 08:43:17,jd.com,850740,211633b9-0de5-4b20-9d06-3f053b98de89,Chrome,ios,274
7023,174.16.135.171,澳门特别行政区,2025-06-09 11:45:15,github.com,577402,31d114e0-2a6b-4136-9944-40d6d309dd7c,Safari,安卓,52
7024,149.190.176.37,上海市,2025-03-03 00:51:06,github.com,406312,f224068e-afff-4672-9462-36530ea9db54,Safari,ios,430
7025,153.138.233.209,云南省,2025-09-04 10:56:09,qq.com,512230,8a20c351-3a61-473e-9355-56a92aeda9e9,Edge,win,252
7026,175.192.210.141,重庆市,2025-02-01 09:53:01,weibo.com,593414,4c0bdd78-d812-483f-9f40-c0f20be2ba5b,Edge,macOS,222
7027,29.226.137.124,山西省,2025-11-14 12:02:05,taobao.com,519268,1e480a0b-38ad-4c28-bf57-f5524f0f6804,Firefox,ios,562
