ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
1001,89.18.1.213,四川省,2025-10-04 22:15:00,aliyun.com,786719,45cd11eb-f183-4556-a8d3-d0a4dc29d97b,Edge,ios,368
1002,22.24.236.129,宁夏回族自治区,2025-08-29 20:44:35,taobao.com,639103,ba9d96c1-720f-41c6-873c-481157f8539c,Edge,ios,528
1003,155.150.143.124,澳门特别行政区,2025-10-07 18:35:02,github.com,152875,be8ad115-dc5f-491b-950f-b11d1498cc90,Firefox,macOS,429
1004,95.56.104.61,台湾省,2025-02-15 06:56:38,xiaohongshu.com,715203,563947c6-6c91-4b5b-aad2-25e355f7ec98,Firefox,安卓,182
1005,108.245.204.209,陕西省,2025-03-04 12:14:56,douyin.com,869158,cb9bfa62-4fa0-4a97-a52b-bbe580f2c935,Firefox,安卓,267
1006,13.55.189.152,江西省,2025-09-30 02:33:53,aliyun.com,582063,a3a91900-536b-4078-a603-a592a14179b9,Safari,macOS,338
1007,21.221.59.235,福建省,2025-03-28 14:03:58,jd.com,943523,4351ea4b-3b0d-4c74-9751-a9b7df476464,Firefox,win,346
1008,155.47.119.181,黑龙江省,2025-01-21 19:15:42,baidu.com,534523,68788d36-50d5-4d9e-b22c-214656f3a161,Safari,linux,242
1009,61.49.56.203,青海省,2025-02-25 22:28:04,github.com,501764,ed664c13-76a2-464b-9334-79aff5930654,Chrome,linux,73
1010,42.7.92.92,安徽省,2025-06-15 07:33:31,aliyun.com,610333,da4b1de5-c8c6-4aaa-901b-ca69eecf0336,Firefox,linux,201
1011,43.161.250.159,湖北省,2025-01-09 13:28:14,weibo.com,585309,47fd6df4-b31b-48b7-b302-d34101fc9ff3,Chrome,win,266
1012,85.161.224.47,山西省,2025-07-13 20:00:18,taobao.com,773096,29a97d37-3117-41d9-9b59-e8eef8bd14ff,Chrome,win,523
1013,134.232.204.191,湖南省,2025-09-24 05:19:48,aliyun.com,270199,e8d7156b-3942-4bcf-8efd-3ed853b8bb95,Firefox,win,91
1014,14.181.109.18,广东省,2025-12-15 05:17:23,weibo.com,601479,02836dbd-6c9b-489d-8e33-4de5676ab723,Edge,linux,459
1015,219.67.14.105,海南省,2025-11-23 06:22:21,xiaohongshu.com,533366,e9cb7d49-f4a7-4508-adc2-9ea8f968b29c,Safari,ios,553
1016,118.204.70.56,海南省,2025-08-25 21:28:20,github.com,575551,3f0bd59b-9a95-40e1-b1d4-6abf1e62e486,Firefox,macOS,161
1017,48.28.55.74,云南省,2025-01-27 06:56:53,xiaohongshu.com,607113,968ad8ad-4bb7-48a4-90f0-dec5ba54b428,Chrome,macOS,240
1018,169.114.8.143,新疆维吾尔自治区,2025-05-11 01:30:30,xiaohongshu.com,414837,3f9085cc-c7dd-4a9c-a968-2099436ae825,Firefox,macOS,550
1019,134.204.80.201,青海省,2025-06-12 02:00:40,qq.com,798756,3ab21666-4b58-4b89-a0ba-0ed55c7151a2,Firefox,ios,509
1020,170.227.245.117,台湾省,2025-08-09 07:39:49,douyin.com,433413,a9377751-90f5-4b97-b8ce-056d50e40186,Firefox,ios,509
1021,31.110.141.143,四川省,2025-11-30 02:44:03,douyin.com,805736,cc51f697-08e3-48ae-be55-bdca72765282,Safari,win,420
1022,54.167.242.179,广西壮族自治区,2025-09-22 18:13:09,douyin.com,644020,a07fb7e9-ea79-48dc-9f6b-848be0933516,Firefox,安卓,449
1023,63.254.68.92,天津市,2025-12-26 16:26:58,bilibili.com,705065,936b7344-ba53-4d67-910e-cbbc02ad2001,Safari,安卓,121
1024,123.74.253.49,上海市,2025-02-17 11:28:39,weibo.com,981034,b009e2c3-1328-41eb-b092-4e5afe3d677c,Edge,ios,359
1025,105.99.9.92,甘肃省,2025-06-26 14:45:19,douyin.com,429322,55c7b628-b910-4b1b-aaf1-e403ab42645e,Chrome,linux,563
1026,91.180.183.141,天津市,2025-10-16 02:55:19,weibo.com,945600,8e10bf01-ec39-44f1-a95c-ae9e221d0c44,Safari,macOS,350
1027,155.146.36.187,西藏自治区,2025-11-21 00:21:36,weibo.com,742349,5bde0711-3255-4677-8fe6-dca444b2989b,Safari,macOS,156
1028,138.166.226.228,西藏自治区,2025-05-08 07:43:03,github.com,998341,0c0909eb-fac4-47c3-acc9-b0f712971ad6,Edge,ios,171
1029,101.228.212.144,安徽省,2025-03-21 06:28:16,qq.com,413815,f02d1a33-0a8a-4b76-b669-97f4f4b49b64,Safari,ios,216
1030,192.123.176.50,山西省,2025-01-09 21:39:12,github.com,744149,65c35cf0-07c1-49cb-bc5b-e4735d238c6d,Chrome,ios,236
1031,75.56.164.71,西藏自治区,2025-01-17 20:06:37,bilibili.com,687225,0eaff771-f0bb-4174-9203-de0122b9b029,Edge,win,144
1032,120.101.170.54,四川省,2025-12-07 03:21:37,github.com,466730,af26cd37-5bd9-48de-934c-9ef88574fce5,Safari,win,422
1033,77.225.125.74,海南省,2025-09-26 09:26:48,xiaohongshu.com,340666,15679fc6-7590-4df3-94f3-aed3e4a8bb31,Chrome,安卓,352
1034,119.27.246.52,新疆维吾尔自治区,2025-02-23 03:06:27,baidu.com,751504,0c59c2eb-9910-4a08-ad29-6d8d2198ec0d,Safari,linux,189
1035,61.201.61.37,河北省,2025-09-20 11:43:26,taobao.com,107112,f38ea331-a747-4704-951d-e703d824b5aa,Edge,win,350
1036,121.123.212.73,西藏自治区,2025-08-07 07:20:46,aliyun.com,942688,7dee6604-cceb-423e-a3f7-c7592065df18,Edge,win,21
1037,25.32.173.88,宁夏回族自治区,2025-07-27 02:21:21,taobao.com,315742,753ed7b8-97d4-416c-8d5a-fdb3a1e0fc4b,Chrome,linux,77
1038,220.152.149.233,河北省,2025-06-09 17:25:33,xiaohongshu.com,128143,7195803c-9126-4d3c-bb29-39c90d6d60da,Edge,win,105
1039,130.86.150.24,陕西省,2025-10-19 05:23:11,bilibili.com,642081,64a017e2-6ad1-495d-afa7-58b1b002e9fb,Safari,ios,453
1040,218.36.35.19,贵州省,2025-02-07 06:03:10,jd.com,313241,74fc4712-1990-4ab5-a6b8-362035436c1b,Chrome,linux,163
1041,132.67.16.52,黑龙江省,2025-08-13 15:15:09,github.com,899256,10bb59c9-5ef4-407b-b53c-16295f407794,Edge,macOS,82
1042,174.183.155.151,甘肃省,2025-06-24 00:52:19,xiaohongshu.com,816788,2b4b8907-ab75-4737-ba31-4ffb254459ab,Edge,macOS,144
1043,113.40.148.246,四川省,2025-11-26 11:40:51,jd.com,148676,e828dffd-72d4-4cf0-81ac-cfc06e9a5e53,Firefox,ios,238
1044,170.132.233.44,陕西省,2025-08-21 14:45:25,qq.com,285027,db004261-5148-41e9-97ba-d38af5efd7dc,Edge,win,264
1045,104.32.250.125,重庆市,2025-08-18 20:53:35,douyin.com,535950,54348875-8ec0-418b-b33f-238fd8da9e11,Safari,ios,191
1046,113.13.245.88,安徽省,2025-12-09 07:35:34,taobao.com,700503,5e43f3fa-802a-4112-940f-9331845292d9,Edge,macOS,387
