ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
10001,33.158.22.239,宁夏回族自治区,2025-06-08 07:15:52,aliyun.com,163320,cebb4b15-87fb-4173-b793-6e721ce95c05,Chrome,macOS,112
10002,26.161.225.72,广西壮族自治区,2025-11-17 07:05:08,bilibili.com,229948,09d12385-f5ff-4a6e-b97e-2a854dab09d2,Firefox,安卓,523
10003,182.142.210.72,安徽省,2025-02-14 06:16:46,github.com,289414,e57062b2-e973-4147-bfaf-bde862afbd8e,Edge,macOS,351
10004,192.202.205.143,浙江省,2025-08-28 02:28:18,douyin.com,959791,70180e43-2d1e-4d48-a042-2d248def4a91,Firefox,linux,583
10005,134.18.74.252,河南省,2025-04-13 16:01:10,taobao.com,944271,cd75637a-9cfd-4c45-bb41-eba6ebb3bec7,Chrome,ios,6
10006,206.139.41.120,内蒙古自治区,2025-03-21 04:57:23,baidu.com,409283,0e24f70a-2c20-405e-a48b-2e599b6b8c15,Chrome,macOS,175
10007,179.110.29.222,河北省,2025-09-29 19:42:58,douyin.com,681277,06511970-790c-4d77-a3ee-c4c6d2425a5d,Edge,安卓,180
10008,5.228.66.215,澳门特别行政区,2025-11-09 10:44:22,jd.com,393758,12f76df7-9e77-4118-89c7-71acc3827d99,Firefox,安卓,67
10009,111.179.115.184,吉林省,2025-02-23 09:59:38,aliyun.com,966496,169a7a87-d58c-4707-883f-6eb5595b4bcd,Safari,ios,128
10010,146.43.197.201,河北省,2025-11-28 22:29:26,baidu.com,400434,efdd5820-1977-4009-825a-4094dae95da2,Firefox,安卓,98
10011,219.239.252.96,四川省,2025-03-31 23:01:16,jd.com,367008,56570a83-335e-4988-a6c9-2acf426012f2,Safari,linux,566
10012,208.232.30.217,四川省,2025-01-25 22:40:17,github.com,682531,4b811e1c-3d89-4504-8f46-63acfa241f15,Edge,macOS,133
10013,50.57.215.193,山东省,2025-08-11 04:08:24,qq.com,576789,7838f7e8-c65c-418c-b1f7-02bc5120d1c4,Firefox,安卓,230
10014,87.157.64.229,广东省,2025-02-05 10:56:09,weibo.com,509342,ba1ddfff-848c-484c-80ce-d258639ceda0,Safari,linux,167
10015,172.119.19.252,青海省,2025-04-26 10:08:44,qq.com,816757,55c4a403-efd6-47f9-ace2-3b431fe17406,Edge,安卓,196
10016,14.211.53.227,云南省,2025-12-06 04:24:21,weibo.com,982690,ff0c95d4-0c2b-4bc3-bd60-2fa2333a5215,Firefox,win,586
10017,171.68.82.123,江西省,2025-06-22 10:48:12,baidu.com,332455,9a5b2ee1-1e3a-4bb2-ae72-a223998e50ae,Edge,linux,124
10018,197.216.247.17,湖北省,2025-12-23 22:54:19,taobao.com,487088,290f6455-f2c0-4d87-8398-054c3c255ce5,Chrome,安卓,485
10019,96.82.231.236,湖北省,2025-01-13 14:06:48,taobao.com,659574,08abaaa5-5a64-433d-823e-e4f1870ed55e,Safari,linux,251
10020,32.243.110.242,陕西省,2025-02-24 18:39:48,baidu.com,685089,438a7485-d7db-45a2-9507-c75c70189a0f,Chrome,ios,210
10021,186.243.137.106,湖南省,2025-07-24 01:37:17,douyin.com,322094,dcbac382-cfa5-4495-8cfd-0ee13b5704af,Firefox,linux,533
10022,143.213.198.86,广东省,2025-11-30 08:30:56,taobao.com,844702,c9f44659-8dac-4f37-8f32-a705f511da80,Edge,macOS,351
10023,135.10.119.85,西藏自治区,2025-06-12 12:50:44,github.com,587649,48d67767-a71f-43af-9148-c46e5ed70ccf,Edge,ios,258
10024,20.115.197.68,河北省,2025-06-09 04:49:03,weibo.com,774002,1a4d2220-d32e-4f77-ad3b-d28900520853,Firefox,ios,94
10025,130.95.150.170,青海省,2025-04-14 14:05:12,weibo.com,178163,315ca936-6b6d-42c2-8519-24d3f62d0244,Edge,ios,195
10026,203.237.162.103,河南省,2025-09-14 14:20:26,taobao.com,592792,eb97a316-bba6-4623-a6ad-dd5639a53a5c,Safari,macOS,102
10027,22.231.219.225,湖南省,2025-04-12 16:55:06,github.com,263252,0890b81d-30af-4965-a0d4-6d5c0cf700d8,Firefox,win,532
10028,200.34.107.116,台湾省,2025-10-29 17:22:26,jd.com,969513,fbcde57c-af49-41cc-ad69-f0e13a3d57cc,Chrome,linux,16
10029,110.151.239.227,广东省,2025-12-14 02:42:36,weibo.com,140541,573129f4-2a5d-4e6c-b724-49826aa9c6b2,Firefox,macOS,475
10030,134.207.146.95,海南省,2025-06-02 14:44:54,taobao.com,479868,d6b4e566-f448-4034-bf14-e7cfd767b860,Chrome,win,237
10031,13.175.34.157,上海市,2025-09-19 23:45:11,baidu.com,459984,43b48c19-2a25-4b05-83af-5c33cd4c8cf0,Edge,ios,264
10032,83.209.61.116,北京市,2025-12-29 18:46:45,aliyun.com,388952,ab572cde-7344-48e6-99ea-3669fc6bedd3,Safari,ios,210
10033,210.209.96.222,黑龙江省,2025-10-16 09:52:32,taobao.com,813408,6fb44004-2356-41b1-b19c-3e8d71f2f62c,Edge,macOS,359
10034,217.136.43.109,天津市,2025-03-09 05:51:26,qq.com,942603,cea967e3-4ed4-4ad2-b938-2052f9c8705a,Firefox,安卓,548
10035,105.232.65.74,辽宁省,2025-06-29 11:34:32,aliyun.com,945310,6cece0bf-e92e-465a-823f-fd60a3b606c2,Firefox,win,522
10036,66.180.29.214,天津市,2025-11-06 06:28:23,xiaohongshu.com,577039,4a5c66d2-bb81-4f16-ba11-f67e0d824241,Safari,win,215
10037,165.177.62.227,湖南省,2025-07-10 20:48:45,aliyun.com,438502,26b94340-8abb-4196-b8e1-904a812adc3c,Firefox,macOS,111
