ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
18001,121.94.20.172,吉林省,2025-01-31 12:42:53,taobao.com,398982,df497608-cea3-439a-9822-645bab294119,Safari,ios,526
18002,21.156.17.99,宁夏回族自治区,2025-01-19 11:06:15,xiaohongshu.com,206598,59d3b4b3-506f-446f-8dc6-a578a76d25ff,Safari,macOS,365
18003,155.78.184.155,辽宁省,2025-11-15 02:32:28,qq.com,143157,3aed8fa2-f75e-45a5-abbf-eff43094ec7e,Chrome,安卓,236
18004,3.223.188.63,江苏省,2025-05-26 23:10:52,qq.com,366275,bb7a743f-72a2-41b9-8f65-c654fabb59cc,Firefox,ios,166
18005,24.149.76.213,四川省,2025-04-08 04:15:27,weibo.com,125022,447a5c9e-231b-4181-92f5-bc496d8a5da4,Chrome,linux,427
18006,65.166.60.57,上海市,2025-07-17 17:39:23,aliyun.com,365496,083ba5df-8bf8-48ec-a115-6e6a27cbefdb,Safari,win,383
18007,61.196.162.90,浙江省,2025-10-06 18:45:08,xiaohongshu.com,894374,35655327-c4bf-41cc-afec-0522009de2db,Edge,安卓,457
18008,12.89.192.2,江苏省,2025-09-09 05:05:07,baidu.com,841943,d23eb39c-aa8d-4480-b4f2-5a31368780b2,Firefox,macOS,435
18009,195.139.125.241,新疆维吾尔自治区,2025-04-27 05:25:48,qq.com,726517,4b196e83-06c4-4912-b328-ea93470a3f6d,Firefox,linux,180
18010,220.210.5.145,新疆维吾尔自治区,2025-05-29 00:50:32,taobao.com,532907,0e025ef5-d5ee-4ac5-9d1b-ceb8fb687881,Firefox,win,79
18011,114.249.18.144,澳门特别行政区,2025-10-06 19:19:32,xiaohongshu.com,348627,202feb3a-8676-45fe-85e5-b4d0799b8c0e,Chrome,ios,114
18012,151.53.231.188,湖南省,2025-06-21 09:25:10,weibo.com,948370,247b6e75-daf5-4e17-b00d-4e68b3e2a2fd,Safari,ios,60
18013,210.158.68.158,山西省,2025-06-03 17:23:40,douyin.com,159878,b1ab56ba-b077-4277-99f5-e24eab6bb3d3,Edge,linux,456
18014,195.194.122.239,江苏省,2025-03-12 05:49:07,weibo.com,190316,3af879a6-2cae-4138-823a-a94fd69b0b3f,Safari,win,464
18015,119.96.51.148,陕西省,2025-10-05 01:21:21,baidu.com,281565,05537ecf-c8d1-4e77-9abd-b5f7538c1b0f,Chrome,ios,275
18016,100.198.30.174,青海省,2025-01-21 17:55:55,baidu.com,794762,1a569ac1-83bd-4a1a-b4ae-30a31fdd38e6,Chrome,安卓,324
18017,19.118.14.62,江苏省,2025-06-29 00:52:01,qq.com,154477,78bce47e-94b2-41d5-be34-e049f7f501b5,Safari,linux,52
18018,172.66.184.182,辽宁省,2025-05-29 01:04:49,github.com,463238,0616b4a8-7882-4a47-a614-060b5cba1e13,Edge,ios,45
18019,58.204.1.113,湖南省,2025-11-09 09:48:39,taobao.com,468453,82017cd6-a030-43a6-9f06-8fa083dc03eb,Edge,ios,512
18020,72.221.112.88,四川省,2025-08-03 06:56:51,xiaohongshu.com,653127,4b62cc5a-6e06-4fc7-9358-6cc3ca1f85b6,Edge,linux,321
18021,2.82.137.66,安徽省,2025-12-30 10:39:22,qq.com,193411,78ad6291-c53f-4143-b8e9-133c810fd95f,Safari,ios,591
18022,81.197.235.160,黑龙江省,2025-08-06 17:21:36,bilibili.com,452840,79672d82-67a3-4ece-b16d-201773f282f8,Safari,linux,384
18023,101.166.172.107,江苏省,2025-04-13 16:02:38,weibo.com,384754,65ee2e92-e8bc-4e29-ad87-f5c235a4b851,Chrome,win,390
18024,142.84.118.216,贵州省,2025-08-26 12:25:46,weibo.com,632673,07a2c43b-4361-4abe-875b-b04f42d2b2d2,Safari,win,356
18025,129.135.108.6,上海市,2025-03-12 03:17:52,xiaohongshu.com,337403,8b9c114a-efad-4cf3-a83c-f2fc5c5c74e9,Firefox,安卓,86
18026,162.196.252.136,宁夏回族自治区,2025-05-02 20:30:55,github.com,386925,58618e04-02e2-4bef-abe3-83d072eededd,Firefox,linux,289
18027,81.10.6.158,广西壮族自治区,2025-08-31 05:03:58,jd.com,925002,07b71d33-8e9a-4562-8c4d-20ea7b09665d,Safari,安卓,592
18028,199.213.134.115,香港特别行政区,2025-10-17 17:45:30,douyin.com,677295,115631c3-36d5-44d7-8075-850e75c1d4be,Chrome,ios,565
18029,72.38.243.248,福建省,2025-04-08 19:08:29,bilibili.com,417930,ded46004-0a72-46d9-b0f5-438a4137c6aa,Chrome,ios,32
18030,160.79.42.72,湖南省,2025-08-27 05:52:43,aliyun.com,190788,dd960de2-7f53-4be7-b8ba-2e664ca93caa,Safari,win,387
18031,107.71.179.234,河南省,2025-07-03 07:27:59,weibo.com,410097,5ced977c-9197-41d9-96ed-fc44fb20c0e0,Edge,ios,11
18032,162.76.159.220,浙江省,2025-03-17 23:36:00,xiaohongshu.com,422812,4a54dcbb-a104-42ca-8e10-d8e1d99c3245,Edge,linux,350
18033,123.100.28.124,内蒙古自治区,2025-07-28 11:47:55,taobao.com,793578,24a280dd-e9aa-470d-a1b2-fa1f370f7f09,Chrome,linux,598
18034,63.219.234.168,广东省,2025-07-29 17:02:57,xiaohongshu.com,320412,3ef3614f-ae2c-4f55-b449-3f682a7d74c5,Edge,安卓,396
18035,200.122.64.65,四川省,2025-12-02 19:06:52,bilibili.com,801680,782b258c-4559-4568-8d6b-7931b2e0417d,Chrome,linux,545
18036,176.54.234.89,福建省,2025-02-03 01:40:40,qq.com,534581,48e64ba5-ace5-47dc-be79-3559e2426027,Chrome,安卓,135
18037,71.107.3.200,上海市,2025-09-26 07:28:09,baidu.com,193943,4800fac2-291c-44d4-af1f-27b8c96fd9c7,Chrome,linux,401
18038,62.209.201.208,重庆市,2025-07-12 00:19:10,jd.com,100212,d4f9d667-5451-4947-877c-f405a8d86e4d,Firefox,linux,556
18039,89.186.121.200,河北省,2025-01-04 05:44:35,weibo.com,270031,34486ce1-3449-4c28-81c9-94b9d3e2ee0e,Safari,macOS,160
