ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
6001,36.114.29.123,四川省,2025-05-18 03:17:15,baidu.com,982022,c9b87953-fd8b-45b2-bbab-04915f0d80d9,Chrome,ios,519
6002,162.221.112.255,吉林省,2025-06-23 15:37:09,xiaohongshu.com,833014,27b7cc51-4daf-4de9-80ab-6bed963155b0,Chrome,win,424
6003,10.179.214.79,湖北省,2025-08-28 23:38:56,douyin.com,325318,a58f07f3-08c9-47f1-8394-3a65f38fb42a,Edge,linux,156
6004,35.214.2.222,香港特别行政区,2025-08-12 06:44:56,bilibili.com,376351,e12ffb34-b21e-4603-b424-c4a3854ee939,Edge,win,30
6005,30.225.65.135,云南省,2025-05-20 18:21:20,weibo.com,501861,67e1dfcf-0419-405f-9119-c87103b47cbf,Chrome,安卓,600
6006,132.14.3.39,江西省,2025-02-24 02:13:59,baidu.com,807055,d1c016a2-81a2-457a-a32d-6907a2a20d47,Chrome,win,37
6007,101.62.213.211,山东省,2025-07-14 22:54:21,baidu.com,179410,ac5ed950-f083-40d8-b140-bb2be15ace04,Firefox,win,269
6008,172.32.206.113,山东省,2025-05-04 20:17:51,qq.com,215425,01c35587-c040-420d-bac6-18b20a8b78b1,Safari,linux,393
6009,144.74.8.174,青海省,2025-03-27 19:26:19,aliyun.com,886399,a18e576c-e0dd-4a4f-9321-3cd9238b7ee5,Safari,macOS,405
6010,214.35.144.101,山西省,2025-12-01 16:03:09,aliyun.com,995668,b2f6201c-32bb-4137-b84f-8641a9a7e565,Firefox,macOS,152
6011,4.38.221.145,广西壮族自治区,2025-07-05 04:29:25,taobao.com,495042,e2af4335-3ad4-4498-92dc-9a164e967ebd,Firefox,ios,524
6012,117.203.35.122,海南省,2025-12-07 13:29:48,aliyun.com,831536,81920c0a-a1e3-47d2-840e-f670b263d8a3,Safari,linux,248
6013,11.233.131.255,山西省,2025-07-09 07:41:03,github.com,929910,a5b6820f-430f-44f0-9f68-e079ed5925cf,Chrome,安卓,562
6014,121.160.115.70,山西省,2025-10-08 04:03:10,aliyun.com,639705,f6c2f631-f140-4837-802e-281b8114d48a,Edge,macOS,494
