ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
27001,115.68.131.69,陕西省,2025-09-06 08:49:16,qq.com,457309,205df1c9-e030-4ba2-b54e-3860e14b0297,Safari,win,86
27002,58.111.165.81,甘肃省,2025-02-13 06:03:19,douyin.com,718666,e1c6b5d3-3a82-425b-8b39-39901b678b03,Chrome,macOS,472
27003,54.49.73.171,新疆维吾尔自治区,2025-12-06 09:53:31,baidu.com,507172,981cc84b-4330-4f41-99e2-1cc3311194ef,Safari,ios,100
27004,118.219.153.164,广西壮族自治区,2025-10-13 23:00:40,baidu.com,942942,4fe4c846-c174-41b0-96e8-aa83348f59d4,Firefox,安卓,515
27005,206.155.37.244,宁夏回族自治区,2025-12-10 07:36:25,douyin.com,632650,61936c97-aa64-4d5a-b37f-7cf770fbc84f,Firefox,macOS,522
27006,56.230.242.43,陕西省,2025-09-02 18:53:20,github.com,370198,34e629a8-258c-4b6d-b31a-4b774d3cad5f,Edge,linux,573
27007,194.226.33.43,北京市,2025-09-28 09:26:18,aliyun.com,101262,888c217c-a6a9-4293-a829-24a00857e686,Safari,安卓,471
27008,29.169.214.138,贵州省,2025-06-23 03:22:27,xiaohongshu.com,289676,ab62d71b-e19a-46ff-b3b7-30c44fe47617,Chrome,macOS,124
27009,210.250.43.6,安徽省,2025-09-04 11:10:32,jd.com,464297,66c7c717-415d-4ede-9d66-c61d7174168b,Chrome,ios,352
27010,146.94.36.107,广东省,2025-09-30 12:26:57,douyin.com,196982,8d46053f-5d38-41b9-9ca3-90ce103177c2,Chrome,macOS,291
27011,122.135.236.143,吉林省,2025-08-18 22:15:58,douyin.com,475663,36640cce-c0eb-4045-a704-07042ddb94b2,Edge,安卓,280
27012,86.218.129.7,广西壮族自治区,2025-03-23 05:46:18,qq.com,286243,65c14db8-55b4-494b-b8d6-22b82bb995aa,Chrome,win,543
27013,29.158.187.251,青海省,2025-02-14 07:36:04,douyin.com,355227,be9155f7-fe36-4af3-871e-704c38b247b2,Chrome,ios,428
27014,140.92.173.128,河北省,2025-08-15 15:02:12,aliyun.com,705194,02584fd0-2a1e-4442-af67-0972a7eeb402,Edge,linux,567
27015,120.46.7.47,宁夏回族自治区,2025-05-09 12:39:26,taobao.com,414235,f5ef8fc2-96b9-4bbe-aaef-4b9a97c57091,Safari,安卓,18
27016,48.4.137.234,广东省,2025-10-17 07:20:41,bilibili.com,568101,4be9e3b9-d818-46ac-8c48-ac98f0ee09f6,Edge,macOS,371
27017,117.107.152.107,河北省,2025-06-22 15:48:37,qq.com,630529,3d23792a-53ad-49b0-9828-767c5c339582,Edge,linux,590
27018,182.185.15.253,天津市,2025-04-05 04:08:23,qq.com,551189,012148c4-4288-4fc7-ab5a-f5981ef72336,Edge,ios,18
27019,203.158.120.4,台湾省,2025-01-18 19:47:03,baidu.com,879360,34d9fc9b-f852-4803-9376-19d539569252,Chrome,win,483
27020,104.36.144.222,山西省,2025-11-17 19:20:01,weibo.com,617259,3dfa4c38-4957-4a1d-b2f0-94f1a9d23982,Chrome,macOS,594
27021,96.162.202.215,上海市,2025-03-06 22:46:20,jd.com,351363,c5b40d46-c608-4e8f-9047-1f772e6d7159,Safari,linux,77
27022,37.70.74.103,青海省,2025-01-10 22:03:47,taobao.com,496765,c2c9e770-7760-4c20-b627-570e8603458b,Firefox,win,330
27023,197.18.80.180,上海市,2025-01-19 19:30:25,bilibili.com,264668,97d8f15d-6437-4e35-a90f-92e2df113e92,Edge,macOS,440
27024,44.110.138.135,天津市,2025-06-14 07:29:56,aliyun.com,164657,e089faf6-f98a-4ace-9783-ab7be6e1048e,Edge,win,352
27025,129.85.189.222,贵州省,2025-01-20 01:48:27,weibo.com,625615,8bc4eb77-32b1-4af3-b7d3-e1616b2688d9,Chrome,ios,176
27026,58.247.93.177,新疆维吾尔自治区,2025-10-25 11:19:50,jd.com,368478,2c581f11-ecc3-4de4-b859-1ef11a0f59ef,Safari,macOS,315
27027,63.113.57.245,湖南省,2025-08-16 07:26:04,qq.com,952936,8eaeb4d3-f8bb-4335-95cb-0e2ab5245986,Chrome,macOS,111
27028,74.56.78.211,河南省,2025-02-18 16:01:12,github.com,966097,c99072bd-6109-4d09-9688-a0333278044e,Safari,安卓,72
27029,207.190.199.148,辽宁省,2025-04-22 23:58:07,baidu.com,431478,3e76aabd-d80a-44f3-8219-b02e6080dba0,Chrome,macOS,239
27030,60.149.48.217,海南省,2025-07-04 02:32:28,bilibili.com,298293,f3d1db3b-900c-4f1e-b257-e0523e6c442d,Safari,macOS,229
27031,95.104.197.198,澳门特别行政区,2025-06-24 07:03:34,qq.com,749752,04bc7a1b-1c89-4b29-8575-e73b530fa5dd,Firefox,安卓,164
27032,204.116.174.158,山东省,2025-11-06 18:27:16,qq.com,581900,b790cad2-bac7-43d6-a0d6-0b7cd5f189da,Chrome,ios,284
27033,198.10.75.48,云南省,2025-02-17 19:09:06,qq.com,375923,16be6179-2fe5-43fb-8a5d-bbe41160c088,Chrome,ios,309
27034,38.137.220.55,河北省,2025-07-24 15:25:07,qq.com,446266,4e80e327-bbbd-439b-bc75-f1e9c8a6ac58,Firefox,ios,187
27035,204.40.44.106,河北省,2025-09-14 07:50:01,bilibili.com,834813,5adbc446-5d96-4d1c-bece-ead3d88569dd,Edge,macOS,395
27036,61.226.217.212,台湾省,2025-10-02 01:31:42,weibo.com,267728,0b55fab6-b241-4927-adfc-3a3bfb35366c,Safari,macOS,394
27037,100.5.173.59,福建省,2025-04-24 19:45:52,weibo.com,985069,cffd1a19-e91c-44f1-9c5d-7c0054433d1b,Edge,macOS,81
27038,58.207.102.116,江苏省,2025-09-08 14:23:47,weibo.com,484559,ccf2e9f3-1fbf-40cc-ba2b-41bb849f591a,Safari,ios,7
27039,144.40.120.23,湖北省,2025-07-14 18:49:59,xiaohongshu.com,503327,0b03eb07-3a6e-4c40-a468-3a603dbe6acf,Safari,macOS,444
27040,47.52.8.223,台湾省,2025-04-13 23:10:40,jd.com,370103,361d09fd-188a-48d9-a0e9-347aed1d9146,Safari,安卓,363
27041,208.182.255.39,广西壮族自治区,2025-12-19 15:24:31,bilibili.com,153075,8a836503-07f9-430b-9b9a-252b680e6509,Firefox,安卓,181
27042,214.198.238.87,甘肃省,2025-03-07 08:07:02,taobao.com,749160,8a2a53c2-f339-4b07-9255-828be1e03946,Edge,ios,26
27043,25.81.195.118,上海市,2025-02-26 04:31:43,douyin.com,528868,327a98b6-d78d-44aa-a8e4-e3fb534af157,Edge,win,388
