ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
21001,138.152.197.100,湖南省,2025-01-24 14:30:15,douyin.com,844158,b977a567-8474-4699-8849-b1a343c513d8,Edge,win,15
21002,185.119.156.193,广西壮族自治区,2025-07-25 02:29:54,xiaohongshu.com,526797,f419d9eb-3a25-4af2-ad76-c38006361b5f,Edge,安卓,326
21003,50.179.199.77,天津市,2025-03-07 05:26:40,xiaohongshu.com,974031,a36a9998-d6e1-4dc3-9e6f-731fe07732a9,Firefox,win,494
21004,202.102.245.7,安徽省,2025-11-11 02:38:06,douyin.com,427826,ce9cc025-a81b-4f1b-a846-a5335c34e143,Chrome,安卓,446
21005,180.95.218.99,贵州省,2025-08-09 02:56:54,bilibili.com,395865,afcace35-2415-46a2-9660-a01c22e57932,Chrome,macOS,165
21006,124.167.0.5,黑龙江省,2025-07-01 07:49:40,aliyun.com,708057,fa11048a-f6a5-41b3-8517-d4a42e774de1,Edge,linux,523
21007,47.51.150.53,江苏省,2025-12-22 00:53:38,aliyun.com,407237,ce3d9ad6-36c2-43bc-bf1a-4db25e9fcc24,Safari,linux,430
21008,151.132.57.60,天津市,2025-09-19 18:03:43,xiaohongshu.com,770324,118c8401-0f6b-45f1-a90c-577aee2f5673,Edge,linux,552
21009,154.185.103.159,黑龙江省,2025-01-13 08:56:42,bilibili.com,798131,420bbd1e-207e-44ea-af6a-95feb4d65ba1,Firefox,win,369
21010,136.48.59.179,青海省,2025-08-18 16:17:33,github.com,742268,f3d2cbee-8b9d-4e66-8e69-5b727187513f,Edge,安卓,253
21011,110.202.204.87,云南省,2025-12-20 11:39:05,aliyun.com,621021,4a611bac-e20c-4376-8b50-abb94f75d87c,Chrome,安卓,194
21012,125.27.191.1,台湾省,2025-07-22 16:24:13,github.com,270455,d3908117-3a6b-49de-a494-0eccb36dfe19,Edge,安卓,24
21013,116.251.196.37,辽宁省,2025-09-11 13:02:57,bilibili.com,669786,03705bc6-114b-431e-8e8a-4dc553c9d587,Chrome,win,299
21014,142.211.159.185,山东省,2025-03-04 22:39:24,douyin.com,325189,ea916ab0-c19a-4a81-96fa-16d9947d7dd6,Firefox,安卓,42
21015,200.167.6.211,天津市,2025-08-25 12:23:41,douyin.com,584384,7521cc9c-c0b3-4e6e-9543-ccca8a47d7e3,Chrome,win,225
21016,5.131.233.247,宁夏回族自治区,2025-05-30 16:46:40,jd.com,307301,4a025cd4-cef6-4efc-9b5a-49e4415a68a1,Firefox,macOS,144
21017,54.34.13.221,湖南省,2025-03-24 16:27:05,jd.com,393728,3a822e98-c444-483b-89ab-962e107995cb,Chrome,ios,22
21018,10.221.151.36,宁夏回族自治区,2025-05-02 21:17:50,baidu.com,399043,eb81b3de-c078-41ad-a0ca-0fab8665e034,Chrome,win,124
21019,159.11.4.215,湖南省,2025-08-28 09:47:45,taobao.com,889323,c9a8337a-da61-4cbf-af5c-fc21c942ef5e,Edge,ios,77
21020,139.21.103.249,贵州省,2025-03-10 16:14:38,jd.com,646410,3a45722d-e217-4aba-9443-ce7b81ac6b01,Firefox,安卓,412
21021,171.133.195.30,天津市,2025-09-21 20:25:48,bilibili.com,503134,4c119831-b8c9-4f3e-bea6-7f98306fdc3b,Firefox,linux,42
21022,171.190.159.129,云南省,2025-05-05 09:11:40,aliyun.com,634553,747e4d68-af05-47e1-8292-ea0d77b3b012,Safari,macOS,78
21023,178.139.221.238,湖北省,2025-12-30 07:57:38,bilibili.com,530981,c1bf74be-d3be-4031-b4f5-12f04de465fe,Firefox,macOS,105
21024,221.85.217.31,甘肃省,2025-04-11 15:00:56,xiaohongshu.com,679934,467b784e-33fd-4404-b646-ed64dbc25b9a,Safari,macOS,415
21025,163.152.100.89,北京市,2025-05-22 22:32:11,douyin.com,713177,dab28add-58df-440a-a912-ceb4eec5bba0,Edge,ios,373
21026,139.255.244.171,甘肃省,2025-10-29 08:36:19,douyin.com,113533,1ab23d81-3a6a-4804-a07f-fc1ab5687d4a,Chrome,macOS,257
21027,16.10.157.139,西藏自治区,2025-03-12 02:05:23,weibo.com,124201,728b51cd-c0fd-491b-b4ba-c6e3155a9ece,Chrome,macOS,442
21028,121.216.104.86,青海省,2025-05-11 11:26:53,jd.com,166134,b13cc646-5b99-4579-b40d-b91ce85ee088,Firefox,win,273
21029,36.172.117.91,天津市,2025-10-07 23:48:30,bilibili.com,166193,67a7bca6-892e-4eea-84aa-38698a02dbf4,Chrome,linux,175
