ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
28001,30.92.162.86,宁夏回族自治区,2025-10-14 19:53:17,taobao.com,882989,cc879c02-83aa-49c3-a196-6c28e364be1e,Firefox,ios,63
28002,208.44.165.198,黑龙江省,2025-11-30 11:50:04,douyin.com,703297,3c137bd4-547e-45d8-9eaf-cefd8f5eac58,Edge,win,158
28003,103.191.248.53,河北省,2025-09-13 19:08:51,github.com,720822,f895613c-3104-4492-b0fe-0310da0919c6,Edge,linux,518
28004,218.7.30.173,海南省,2025-03-18 13:25:09,xiaohongshu.com,953536,d5cf3ae3-ffe6-42f1-b1c5-e8c2c8800924,Firefox,linux,392
28005,92.74.35.32,重庆市,2025-06-24 15:25:30,qq.com,430642,c275a872-4f6d-4e5e-b6e1-b272a012475b,Safari,安卓,251
28006,77.124.91.197,澳门特别行政区,2025-06-03 19:51:51,jd.com,199177,cfd82e3e-fe61-4ca1-8d29-0b6ce46500f8,Chrome,linux,343
28007,135.14.150.204,海南省,2025-10-15 14:08:31,qq.com,292640,1be8eba5-5a4f-407c-b26a-668b436135ed,Safari,ios,318
28008,59.9.87.63,湖南省,2025-02-27 11:33:16,taobao.com,307052,9552a757-8314-4bd4-8fdd-6560668b2fad,Firefox,win,171
28009,131.181.125.6,安徽省,2025-12-23 17:26:23,github.com,658539,2db922e5-e635-41fe-8c97-a5b025610c7b,Safari,win,582
28010,166.113.218.193,上海市,2025-12-19 23:29:46,aliyun.com,185222,7716f12d-5830-4b52-ad3a-e726ae02e16f,Chrome,macOS,328
28011,217.44.204.73,甘肃省,2025-05-08 17:14:58,qq.com,921271,5a2f9d54-d4f6-4fd9-aee3-5fd4568e689d,Edge,win,577
28012,212.123.109.199,台湾省,2025-09-06 15:40:58,bilibili.com,874806,228f9c89-2155-4481-a02c-15ab1e7c7778,Safari,安卓,117
28013,201.231.88.76,重庆市,2025-08-19 10:04:26,taobao.com,489205,690a9ec3-e1e7-4e16-8bc5-cb3c625a2985,Firefox,ios,77
28014,12.114.203.144,西藏自治区,2025-09-28 15:53:59,bilibili.com,601002,fe33e93a-7e28-46da-8788-44ec51939e77,Safari,ios,447
28015,128.180.230.198,香港特别行政区,2025-12-26 06:50:54,weibo.com,963618,9f75a7ea-92b4-4864-b521-c0ac1dcf741d,Edge,ios,298
