ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
20001,68.97.71.65,重庆市,2025-06-16 05:54:50,douyin.com,940440,9ebf1a56-4891-43e2-a8b7-10c235b388b5,Safari,linux,184
20002,69.120.91.128,黑龙江省,2025-12-03 13:21:46,qq.com,117100,acf331c1-837f-41c7-ba0e-fb2998b323f0,Safari,ios,517
20003,40.80.40.11,福建省,2025-10-20 16:12:20,bilibili.com,627128,c898aed6-73d4-457e-91b9-ca75c6851b1b,Edge,linux,253
20004,54.111.122.48,黑龙江省,2025-09-23 13:43:10,aliyun.com,952944,57d8c3c7-1706-4ece-9a03-6f9639c9d994,Edge,linux,8
20005,217.60.51.169,宁夏回族自治区,2025-05-25 18:41:40,douyin.com,599245,50d74b15-3473-4abf-8186-9a58b9c916bc,Safari,macOS,114
20006,181.38.161.166,青海省,2025-02-10 05:24:10,github.com,464538,7eeacb58-6b29-41dd-bd7b-2425fe026f70,Firefox,win,151
20007,53.55.191.201,河北省,2025-02-08 08:35:08,xiaohongshu.com,515420,8f891983-6156-48f7-bfcd-5e37f5a929b8,Firefox,macOS,222
20008,87.154.240.191,新疆维吾尔自治区,2025-07-04 14:11:43,douyin.com,406983,11b0b917-9022-4aac-be8f-d24fb53df134,Chrome,linux,496
20009,86.136.130.81,广东省,2025-10-06 07:00:52,jd.com,238513,d78bb027-8237-49c0-8ca4-8a5d10d42e4f,Firefox,ios,73
20010,147.18.222.49,宁夏回族自治区,2025-04-02 02:19:07,weibo.com,573181,b595e549-c51f-4bff-8a9d-e71e61aee52c,Edge,安卓,450
20011,59.92.132.174,四川省,2025-02-03 04:40:52,qq.com,471986,2911b452-9204-43c6-85ff-caa2a677a9bd,Safari,linux,369
20012,197.88.52.248,山东省,2025-01-09 23:50:37,qq.com,979725,1bc2146c-d256-4d8c-8f5e-4751b33aa604,Chrome,macOS,171
20013,171.14.73.72,广西壮族自治区,2025-11-10 20:07:17,baidu.com,461783,efb544f1-e126-4761-bdb9-e3488897f67d,Firefox,win,211
20014,114.153.74.103,湖北省,2025-09-22 16:48:49,qq.com,608768,0252d396-6648-47f5-b711-a0f9bb365f5b,Edge,ios,395
20015,56.161.112.213,台湾省,2025-10-13 05:15:23,taobao.com,889483,aeae5d6f-604f-4415-824c-db974624826f,Safari,macOS,453
20016,46.105.246.99,吉林省,2025-02-04 11:13:55,bilibili.com,689694,1e0d7b32-ae41-4afc-b7cd-1b743b491d57,Chrome,macOS,360
20017,157.143.34.215,四川省,2025-10-28 03:04:38,github.com,816755,e4fde166-c543-41cf-8eeb-3eb595885234,Safari,ios,371
20018,170.151.92.92,澳门特别行政区,2025-10-18 20:31:08,qq.com,636003,024c28d6-49f3-433e-90fd-a724bcb27cf1,Safari,linux,228
20019,68.3.67.30,澳门特别行政区,2025-04-25 15:38:31,xiaohongshu.com,164336,001ea4dd-a679-41df-ab10-21d32baf5e94,Chrome,macOS,276
