ID,IP,IP归属地详细信息,登录时间,登录网址,用户UID,会话ID,浏览器,登录操作系统,网页停留时间
25001,13.247.140.55,宁夏回族自治区,2025-04-17 08:00:14,weibo.com,463841,c3fbb768-33ea-4260-8a4c-b1050685f1b8,Safari,win,520
25002,183.226.116.181,江苏省,2025-04-19 21:58:01,weibo.com,232440,528b917e-831c-4d50-bd8a-9ece40150d05,Edge,linux,191
25003,32.7.193.11,北京市,2025-08-27 17:34:41,github.com,514126,584bab79-93dd-4fbc-a4e5-493cfb53c46e,Chrome,安卓,401
25004,83.197.152.183,河南省,2025-06-21 02:07:55,bilibili.com,384440,e5ccd95e-c35a-4466-ad51-68ced1e127c5,Chrome,ios,91
25005,21.148.85.68,台湾省,2025-05-02 18:22:55,github.com,531829,61cff5a4-1fd9-4d7f-b841-bafbd93328c2,Edge,win,598
25006,92.209.208.122,江苏省,2025-07-07 11:21:12,douyin.com,133113,e98b9b8b-bc4a-41e1-8df3-feadb2065c7d,Firefox,安卓,30
25007,129.77.10.124,澳门特别行政区,2025-11-08 23:57:14,baidu.com,498783,f8bd7a2a-bb5e-4e9e-97f5-a6da644429b8,Chrome,macOS,471
25008,90.36.231.24,山东省,2025-05-14 00:42:53,bilibili.com,764729,e2f1a6fc-64df-43d9-82c5-6bbacd26e8b8,Edge,macOS,205
25009,28.79.90.2,西藏自治区,2025-06-21 13:23:29,github.com,323276,a7381ce3-1a7e-4507-8745-afc814441607,Chrome,ios,109
25010,59.103.11.158,香港特别行政区,2025-06-08 19:37:35,weibo.com,526974,eb52f6bb-229b-4427-a083-e022e9fffd23,Chrome,linux,416
25011,95.19.236.41,台湾省,2025-05-05 21:53:10,douyin.com,171656,644f58f9-d405-4fc2-9795-ee759a2e3237,Edge,macOS,529
25012,126.57.164.133,辽宁省,2025-03-08 15:21:09,qq.com,636083,b5cf8114-e265-490f-8454-73a105ecb37e,Chrome,安卓,167
25013,77.141.110.119,广东省,2025-03-23 01:28:40,github.com,700488,34956120-865b-4d51-bc62-5459768e2979,Firefox,macOS,176
25014,2.148.102.234,新疆维吾尔自治区,2025-06-12 12:17:24,xiaohongshu.com,601439,d2057717-4e72-4574-8c8a-f7cf89cf44f6,Firefox,linux,368
25015,59.216.192.165,山西省,2025-07-14 23:20:38,taobao.com,759471,2e2661dc-29da-4a14-9e17-5ccbf1f057de,Edge,macOS,138
25016,104.92.148.43,湖北省,2025-03-07 15:04:11,douyin.com,404609,d629deda-02d6-4d82-99f8-f315a094b18d,Chrome,linux,18
25017,14.13.123.41,云南省,2025-01-26 22:31:32,xiaohongshu.com,734638,e296c82b-bf62-4ddb-bd48-a8b5b5090eeb,Chrome,ios,51
25018,214.92.7.161,天津市,2025-09-15 15:46:06,weibo.com,854401,bdda6f33-6bc8-446d-9bc5-6696424d1164,Safari,macOS,106
25019,54.184.147.136,广东省,2025-01-19 20:40:07,baidu.com,963798,a7d21bd5-6934-4ccf-89bb-40376a32f371,Firefox,linux,561
25020,204.104.3.71,辽宁省,2025-01-12 12:21:38,xiaohongshu.com,244336,32942c58-94b0-4cf8-b603-e396158986ec,Edge,win,458
25021,32.40.116.91,福建省,2025-08-05 21:12:44,douyin.com,937414,900c5f65-41e4-4753-ba7b-54a4391729df,Firefox,macOS,328
25022,189.106.177.112,天津市,2025-04-22 06:51:12,baidu.com,529114,6a0da4b2-1f62-4562-aec7-f1f7dd9a5b1a,Chrome,安卓,581
